condition,n_ckpt,AUROC_J_700,AUROC_Japc_700,n_pos_700,AUROC_J_900,AUROC_Japc_900,n_pos_900
zoom_phylum,1,0.6266846290959863,0.6319386889283912,4703,0.6678430813105869,0.6731269256723302,2838
zoom_class,1,0.6271688254433473,0.632440682225314,4703,0.6682731684691551,0.673573896675164,2838
zoom_order,1,0.6275146701054768,0.6326788040711249,4703,0.6685020032597329,0.6736946851819834,2838
zoom_intermediate,1,0.6266105939145971,0.6317902898017391,4703,0.6675393475728355,0.6727533313634811,2838
zoom_family,1,0.6276851608539502,0.6328535316507709,4703,0.6686346643603969,0.673830766473993,2838
zoom_species,1,0.6266471381872423,0.6319545858751575,4703,0.6676562714778667,0.6730233805051241,2838
gen_all,10,0.6357424580564792,0.6401546242621976,4703,0.6776128808590487,0.6819375674568615,2838
gen_heldout,2,0.6328460942094425,0.6376982302230081,4703,0.6745668799706737,0.679447035958272,2838
gen_intrain,8,0.6340019308504249,0.6381244764851116,4703,0.6751866098507009,0.6791943698051207,2838
