511145	Escherichia coli K-12 MG1655
99287	Salmonella enterica Typhimurium LT2
208964	Pseudomonas aeruginosa PAO1
93061	Staphylococcus aureus NCTC 8325
272620	Klebsiella pneumoniae MGH 78578
400667	Acinetobacter baumannii ATCC 17978
83332	Mycobacterium tuberculosis H37Rv
85962	Helicobacter pylori 26695
171101	Streptococcus pneumoniae R6
1314	Streptococcus pyogenes
242231	Neisseria gonorrhoeae FA 1090
122586	Neisseria meningitidis MC58
71421	Haemophilus influenzae Rd KW20
243277	Vibrio cholerae N16961
169963	Listeria monocytogenes EGD-e
272563	Clostridioides difficile 630
226185	Enterococcus faecalis V583
192222	Campylobacter jejuni NCTC 11168
257313	Bordetella pertussis Tohama I
