COG_ID	input_prob	input_present	candidate	truth	known_fp	true_input	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG3831	1	1	1	1	0	1	0.465105	0	0.206463	0	0.0733721	0	0.258641	0.391733	-0.184073	0.11261	0.03125
COG3895	1	1	1	1	0	1	0.277125	0	0.138448	0	0.065889	0	0.138677	0.211236	0.202375	0.0664797	0
COG3903	1	1	1	0	1	0	0.640459	0	0.318811	0	0.112462	0	0.321648	0.527997	0.541182	0.126254	0.09375
COG3904	1	1	1	0	1	0	0.0820564	0	0.0376669	0	0.0172964	0	0.0443895	0.06476	-1.49108	0.0141358	0
COG3906	1	1	1	0	1	0	0.00909653	0	0.00198522	0	0.000413865	0	0.00711131	0.00868267	-5.9436	0.0189738	0
COG3917	1	1	1	0	1	0	0.974566	0	0.842174	0	0.356084	0	0.132392	0.618482	0.699614	0.313809	0.28125
COG3943	1	1	1	1	0	1	0.433992	0	0.141254	0	0.032423	0	0.292739	0.401569	-1.6751	0.262255	0.1875
COG3958	1	1	1	0	1	0	0.848262	0	0.564081	0	0.265076	0	0.284182	0.583186	-0.552093	0.551669	0.5
COG4102	1	1	1	0	1	0	0.980159	0	0.908633	0	0.673407	0	0.0715262	0.306752	1.96265	0.637781	0.6875
COG4146	1	1	1	1	0	1	0.0198834	0	0.00381908	0	0.000845939	0	0.0160643	0.0190375	-4.72326	0.130461	0.09375
COG4150	1	1	1	1	0	1	0.00187093	0	5.50449e-05	0	1.49012e-06	0	0.00181589	0.00186944	-9.79834	0.000340157	0
COG4194	1	1	1	0	1	0	0.733773	0	0.385623	0	0.12271	0	0.348149	0.611063	0.647987	0.416934	0.5
COG4206	1	1	1	1	0	1	0.999383	0	0.996892	0	0.983089	0	0.0024907	0.0162935	4.71116	0.857448	0.90625
COG4222	1	1	1	0	1	0	0.730468	0	0.360824	0	0.110612	0	0.369644	0.619855	-0.36196	0.415947	0.40625
COG4223	1	1	1	0	1	0	0.919732	0	0.69971	0	0.318362	0	0.220022	0.60137	0.538169	0.330943	0.3125
COG4229	1	1	1	0	1	0	0.66941	0	0.37046	0	0.198771	0	0.298949	0.470639	1.35381	0.216454	0.125
COG4238	1	1	1	1	0	1	0.0226366	0	0.0098837	0	0.00493059	0	0.0127529	0.017706	-1.82995	0.00934975	0
COG4274	1	1	1	0	1	0	0.574812	0	0.302284	0	0.0924398	0	0.272528	0.482372	-0.132776	0.329916	0.25
COG4296	1	1	1	1	0	1	0.00323901	0	0.00116318	0	0.000454515	0	0.00207582	0.00278449	-3.37873	0.00219293	0
COG4334	1	1	1	0	1	0	0.305627	0	0.14906	0	0.0759344	0	0.156567	0.229693	1.157	0.0719715	0
COG4336	1	1	1	0	1	0	0.618963	0	0.290074	0	0.108424	0	0.328889	0.510539	0.0189355	0.230919	0.1875
COG4447	1	1	1	0	1	0	0.998116	0	0.991273	0	0.959944	0	0.00684249	0.0381715	3.8303	0.887987	0.96875
COG4448	1	1	1	0	1	0	0.96244	0	0.790742	0	0.392532	0	0.171697	0.569907	1.0572	0.58881	0.5625
COG4553	1	1	1	0	1	0	0.435071	0	0.322516	0	0.241914	0	0.112555	0.193157	0.667621	0.0386516	0
COG4577	1	1	1	1	0	1	0.680379	0	0.314416	0	0.0906231	0	0.365963	0.589756	-0.351095	0.391376	0.34375
COG4587	1	1	1	0	1	0	0.992869	0	0.967376	0	0.859737	0	0.0254933	0.133132	3.43112	0.461617	0.5
COG4589	1	1	1	1	0	1	0.991183	0	0.962484	0	0.860225	0	0.0286984	0.130958	1.93395	0.912404	1
COG4643	1	1	1	0	1	0	0.835876	0	0.57653	0	0.284672	0	0.259346	0.551204	0.927753	0.416069	0.46875
COG4666	1	1	1	0	1	0	0.283422	0	0.0733176	0	0.0145896	0	0.210105	0.268833	-2.86034	0.315186	0.28125
COG4670	1	1	1	1	0	1	0.624241	0	0.304426	0	0.120068	0	0.319815	0.504173	-0.0621255	0.298263	0.1875
COG4678	1	1	1	1	0	1	0.126338	0	0.053486	0	0.0225323	0	0.0728517	0.103805	-0.54031	0.0369685	0
COG4695	1	1	1	1	0	1	0.155093	0	0.0344256	0	0.00799227	0	0.120668	0.147101	-3.37644	0.137185	0.09375
COG4765	1	1	1	0	1	0	0.0184007	0	0.00736743	0	0.00333288	0	0.0110333	0.0150678	-3.74297	0.0129861	0
COG4770	1	1	1	0	1	0	0.999567	0	0.998147	0	0.992218	0	0.0014199	0.0073489	4.66163	0.89682	0.96875
COG4773	1	1	1	1	0	1	0.911961	0	0.628441	0	0.235196	0	0.28352	0.676765	0.179444	0.591261	0.59375
COG4786	1	1	1	1	0	1	0.999354	0	0.996785	0	0.982622	0	0.00256932	0.0167319	4.5296	0.85106	0.875
COG4794	1	1	1	1	0	1	0.0232091	0	0.00760248	0	0.00265259	0	0.0156066	0.0205565	-2.56362	0.004614	0
COG4798	1	1	1	0	1	0	0.881284	0	0.677334	0	0.39443	0	0.20395	0.486854	1.49307	0.3728	0.375
COG4856	1	1	1	0	1	0	0.725802	0	0.381815	0	0.0968357	0	0.343987	0.628966	-1.36283	0.517395	0.5625
COG4864	1	1	1	0	1	0	0.167381	0	0.0491332	0	0.0118051	0	0.118248	0.155576	-2.46299	0.213077	0.125
COG4900	1	1	1	0	1	0	0.927471	0	0.767635	0	0.588616	0	0.159836	0.338855	4.1644	0.128754	0.09375
COG4907	1	1	1	0	1	0	0.54766	0	0.273877	0	0.0473945	0	0.273783	0.500265	-1.66815	0.498303	0.5625
COG4922	1	1	1	0	1	0	0.682018	0	0.368485	0	0.150816	0	0.313533	0.531202	0.538869	0.243806	0.09375
COG4947	1	1	1	0	1	0	0.888349	0	0.633272	0	0.299849	0	0.255077	0.588501	1.76541	0.420481	0.40625
COG4948	1	1	1	1	0	1	0.997625	0	0.99128	0	0.970136	0	0.00634563	0.0274895	3.34551	0.94052	1
COG4953	1	1	1	1	0	1	0.949057	0	0.744342	0	0.371234	0	0.204715	0.577823	1.06608	0.420415	0.46875
