COG_ID	input_prob	mean_actual	sd_actual	mean_>0	sd_>0	mean_>0.01	sd_>0.01	mean_>0.04	sd_>0.04	mean_>0.099	sd_>0.099
COG0001	0.0000	0.9600	0.0322	0.9795	0.0222	0.8996	0.0546	0.6136	0.1535	0.2121	0.0985
COG0002	0.0000	0.8558	0.0380	0.7278	0.0897	0.8066	0.0617	0.8462	0.0754	0.3132	0.1784
COG0003	0.0000	0.6949	0.1561	0.7635	0.1612	0.4014	0.1558	0.2431	0.1234	0.0393	0.0176
COG0004	0.0000	0.7019	0.0721	0.7188	0.0999	0.5196	0.1036	0.5406	0.1037	0.1448	0.0520
COG0005	0.0000	0.9910	0.0093	0.9954	0.0069	0.9816	0.0134	0.9323	0.0374	0.7666	0.0708
COG0006	0.0000	0.9912	0.0039	0.9926	0.0040	0.9768	0.0140	0.9333	0.0398	0.8907	0.0675
COG0007	0.0000	0.9477	0.0213	0.9825	0.0077	0.8315	0.1113	0.4307	0.2304	0.0743	0.0382
COG0008	0.1100	0.9591	0.0127	0.9696	0.0128	0.9245	0.0271	0.8968	0.0398	0.9076	0.0407
COG0009	0.0000	0.9657	0.0082	0.9594	0.0086	0.9529	0.0079	0.9416	0.0165	0.9337	0.0231
COG0010	0.0000	0.8361	0.0640	0.8383	0.0702	0.7574	0.0748	0.4639	0.0863	0.2663	0.0784
COG0011	0.0000	0.7999	0.1011	0.7979	0.0894	0.7256	0.1166	0.5602	0.1524	0.1771	0.1092
COG0012	0.0000	0.9620	0.0136	0.9380	0.0239	0.9154	0.0302	0.9234	0.0261	0.9410	0.0222
COG0013	0.4000	0.9771	0.0087	0.9872	0.0059	0.9495	0.0219	0.9135	0.0351	0.8956	0.0441
COG0014	0.0000	0.8676	0.0737	0.8828	0.0847	0.9010	0.0624	0.8694	0.0582	0.3945	0.1703
COG0015	0.1000	0.9752	0.0067	0.9870	0.0050	0.9809	0.0070	0.9779	0.0070	0.9283	0.0550
COG0016	0.0400	0.9692	0.0079	0.9758	0.0092	0.9449	0.0209	0.9622	0.0134	0.9686	0.0127
COG0017	0.0000	0.6987	0.1685	0.7112	0.1661	0.3493	0.1169	0.0872	0.0154	0.2520	0.1258
COG0018	0.0400	0.9709	0.0102	0.9787	0.0106	0.9389	0.0231	0.9618	0.0085	0.9681	0.0090
COG0019	0.0000	0.9440	0.0310	0.9448	0.0349	0.9331	0.0310	0.9299	0.0299	0.7494	0.1259
COG0020	0.0000	0.9607	0.0131	0.9499	0.0135	0.9518	0.0147	0.9682	0.0062	0.9603	0.0119
COG0021	0.0000	0.8276	0.0922	0.8669	0.0738	0.6097	0.1272	0.3700	0.1218	0.5606	0.1522
COG0022	0.0000	0.9093	0.0651	0.9278	0.0445	0.6150	0.1534	0.3402	0.1169	0.1235	0.0462
COG0023	0.0000	0.0262	0.0205	0.0317	0.0206	0.0073	0.0047	0.0238	0.0141	0.0152	0.0063
COG0024	0.0000	0.9718	0.0094	0.9373	0.0206	0.9493	0.0228	0.9641	0.0139	0.9668	0.0131
COG0025	0.0000	0.1976	0.0809	0.1774	0.0527	0.0960	0.0359	0.0842	0.0276	0.0978	0.0310
COG0026	0.0000	0.0619	0.0578	0.0268	0.0279	0.0262	0.0088	0.0201	0.0103	0.0292	0.0110
COG0027	0.0000	0.0027	0.0017	0.0024	0.0020	0.0027	0.0021	0.0094	0.0059	0.0159	0.0084
COG0028	0.0000	0.9226	0.0193	0.9403	0.0177	0.8942	0.0391	0.9230	0.0289	0.5243	0.1581
COG0029	0.0400	0.8921	0.0435	0.9527	0.0329	0.9587	0.0200	0.6372	0.1444	0.4613	0.1583
COG0030	0.0000	0.9717	0.0079	0.9677	0.0118	0.9578	0.0183	0.9594	0.0133	0.9640	0.0116
COG0031	0.0000	0.9891	0.0036	0.9943	0.0021	0.9753	0.0112	0.8793	0.0381	0.6887	0.1095
COG0033	0.0000	0.1618	0.0740	0.1733	0.0747	0.0632	0.0481	0.0223	0.0211	0.0241	0.0191
COG0034	0.0000	0.9687	0.0119	0.9576	0.0131	0.9613	0.0073	0.9689	0.0066	0.8921	0.0813
COG0035	0.0100	0.8410	0.0770	0.9538	0.0277	0.2237	0.1346	0.0567	0.0451	0.0723	0.0315
COG0036	0.0000	0.9784	0.0078	0.9777	0.0083	0.9632	0.0157	0.9588	0.0142	0.9370	0.0305
COG0037	0.0000	0.9803	0.0072	0.9725	0.0106	0.9729	0.0097	0.9710	0.0081	0.9796	0.0063
COG0038	0.0100	0.7511	0.0955	0.8744	0.0339	0.1741	0.0919	0.1644	0.0655	0.0921	0.0252
COG0039	0.0100	0.7686	0.0962	0.9082	0.0492	0.2515	0.1021	0.2171	0.0896	0.1678	0.0581
COG0040	0.0000	0.9364	0.0222	0.9092	0.0285	0.9307	0.0273	0.9003	0.0355	0.3454	0.2152
COG0041	0.0000	0.9170	0.0266	0.8725	0.0545	0.8979	0.0267	0.8884	0.0241	0.7874	0.1513
COG0042	0.0000	0.7122	0.2125	0.6134	0.2175	0.4101	0.1598	0.2602	0.0979	0.6079	0.1126
COG0043	0.0000	0.9425	0.0267	0.9605	0.0206	0.8143	0.0987	0.4579	0.2140	0.0453	0.0303
COG0044	0.0000	0.9894	0.0151	0.9898	0.0125	0.9766	0.0231	0.9505	0.0363	0.7741	0.1850
COG0045	0.0000	0.9787	0.0093	0.9897	0.0050	0.8608	0.0691	0.6516	0.0865	0.3449	0.1566
COG0046	0.1700	0.9665	0.0126	0.9709	0.0151	0.9768	0.0081	0.9790	0.0067	0.9251	0.0836
COG0047	0.0000	0.9369	0.0411	0.9006	0.0712	0.9290	0.0456	0.8946	0.0743	0.7759	0.1503
COG0048	0.0000	0.9568	0.0111	0.9039	0.0382	0.9079	0.0345	0.9146	0.0232	0.9182	0.0284
COG0049	0.0000	0.9487	0.0094	0.8745	0.0484	0.8969	0.0291	0.9182	0.0181	0.9273	0.0192
COG0050	0.0000	0.9583	0.0096	0.8822	0.0406	0.8737	0.0475	0.9103	0.0191	0.9217	0.0241
COG0051	0.0000	0.9154	0.0260	0.7366	0.1397	0.7586	0.1395	0.8722	0.0351	0.9041	0.0294
COG0052	0.0000	0.9664	0.0114	0.9484	0.0139	0.9504	0.0157	0.9641	0.0110	0.9654	0.0116
COG0053	0.0000	0.9246	0.0231	0.9363	0.0248	0.8165	0.0563	0.5501	0.0892	0.4081	0.1056
COG0054	0.0000	0.9685	0.0090	0.9571	0.0209	0.9571	0.0133	0.9428	0.0230	0.8562	0.0643
COG0055	0.0100	0.9526	0.0095	0.9726	0.0149	0.8484	0.0279	0.5666	0.1269	0.5018	0.1863
COG0056	0.0000	0.9376	0.0295	0.9239	0.0412	0.8180	0.0602	0.5394	0.1531	0.4876	0.2007
COG0057	0.0000	0.9668	0.0145	0.9482	0.0281	0.9402	0.0298	0.9470	0.0237	0.9325	0.0341
COG0058	0.0000	0.9292	0.0391	0.9713	0.0221	0.6416	0.1746	0.3862	0.1558	0.4212	0.1287
COG0059	0.0000	0.9412	0.0211	0.9521	0.0172	0.9457	0.0192	0.9407	0.0187	0.4941	0.1998
COG0060	0.0400	0.9793	0.0069	0.9871	0.0054	0.9614	0.0152	0.9717	0.0074	0.9784	0.0073
COG0061	0.0000	0.9698	0.0091	0.9684	0.0136	0.9453	0.0214	0.8910	0.0342	0.8313	0.0938
COG0062	0.0000	0.9818	0.0097	0.9874	0.0084	0.9697	0.0120	0.9399	0.0192	0.8593	0.0624
COG0063	0.0000	0.0294	0.0199	0.0312	0.0193	0.0617	0.0425	0.0815	0.0593	0.0939	0.0554
COG0064	0.0500	0.9941	0.0034	0.9977	0.0017	0.9949	0.0024	0.9864	0.0054	0.8958	0.0385
COG0065	0.0000	0.9893	0.0029	0.9950	0.0018	0.9735	0.0079	0.9570	0.0125	0.5253	0.2121
COG0066	0.0100	0.9925	0.0030	0.9974	0.0015	0.9831	0.0062	0.9670	0.0108	0.5328	0.1870
COG0067	0.0000	0.8322	0.0699	0.8912	0.0473	0.8041	0.0782	0.7752	0.0539	0.1737	0.0905
COG0068	0.0700	0.9974	0.0014	0.9997	0.0002	0.9948	0.0025	0.9629	0.0153	0.2165	0.0982
COG0069	0.0300	0.7849	0.0873	0.9179	0.0401	0.9391	0.0295	0.6540	0.0937	0.1256	0.0756
COG0070	0.0000	0.5837	0.1393	0.6817	0.0987	0.7586	0.0724	0.6275	0.0683	0.1073	0.0833
COG0071	0.0000	0.9895	0.0061	0.9912	0.0068	0.9856	0.0063	0.9502	0.0150	0.7625	0.0539
COG0072	0.0000	0.9697	0.0080	0.9529	0.0133	0.9596	0.0144	0.9651	0.0160	0.9724	0.0134
COG0073	0.4500	0.9416	0.0351	0.9585	0.0231	0.9621	0.0175	0.9570	0.0157	0.9461	0.0207
COG0074	0.0000	0.9118	0.0371	0.9478	0.0253	0.6546	0.1197	0.3144	0.0822	0.2310	0.0857
COG0075	0.0000	0.9663	0.0201	0.9805	0.0118	0.9552	0.0204	0.8633	0.0597	0.5676	0.1128
COG0076	0.0000	0.2169	0.0555	0.2371	0.0552	0.0654	0.0209	0.0431	0.0135	0.0245	0.0084
COG0077	0.0000	0.8921	0.0342	0.9068	0.0409	0.8917	0.0389	0.8930	0.0389	0.3284	0.1924
COG0078	0.0000	0.9669	0.0127	0.9737	0.0154	0.8961	0.0444	0.8934	0.0326	0.6404	0.1386
COG0079	0.0000	0.9945	0.0035	0.9943	0.0042	0.9861	0.0068	0.9654	0.0168	0.5817	0.1577
COG0080	0.0000	0.9617	0.0086	0.8742	0.0675	0.9231	0.0396	0.9455	0.0163	0.9524	0.0111
COG0081	0.0000	0.9563	0.0125	0.8532	0.0817	0.9032	0.0419	0.9318	0.0182	0.9465	0.0131
COG0082	0.0000	0.9475	0.0313	0.9324	0.0486	0.9224	0.0418	0.8958	0.0523	0.4754	0.2294
COG0083	0.0000	0.5514	0.1923	0.6440	0.1446	0.3426	0.1663	0.1780	0.0881	0.0553	0.0284
COG0084	0.0000	0.9648	0.0058	0.9544	0.0144	0.9340	0.0128	0.9488	0.0090	0.9538	0.0090
COG0085	0.7200	0.9865	0.0044	0.9783	0.0125	0.9725	0.0124	0.9714	0.0100	0.9654	0.0145
COG0086	0.0000	0.9627	0.0101	0.9178	0.0343	0.9239	0.0211	0.9357	0.0208	0.9222	0.0277
COG0087	0.0000	0.9433	0.0196	0.7340	0.1592	0.7807	0.1252	0.9053	0.0339	0.9190	0.0368
COG0088	0.0000	0.9612	0.0126	0.8182	0.1179	0.8090	0.1115	0.9113	0.0279	0.9245	0.0257
COG0089	0.0000	0.9642	0.0125	0.7849	0.1817	0.8023	0.1500	0.9241	0.0299	0.9355	0.0210
COG0090	0.0100	0.9842	0.0061	0.8951	0.1023	0.8460	0.1038	0.9453	0.0239	0.9485	0.0226
COG0091	0.0000	0.9691	0.0114	0.7647	0.1796	0.8298	0.1280	0.9382	0.0205	0.9439	0.0244
COG0092	0.0000	0.9813	0.0084	0.8414	0.1436	0.8730	0.1013	0.9511	0.0180	0.9486	0.0186
COG0093	0.0000	0.9768	0.0070	0.8170	0.1408	0.8913	0.0774	0.9446	0.0311	0.9336	0.0420
COG0094	0.0000	0.9767	0.0062	0.8221	0.1226	0.8891	0.0791	0.9477	0.0218	0.9427	0.0276
COG0095	0.0000	0.9482	0.0589	0.9665	0.0459	0.8615	0.0798	0.5325	0.1263	0.4089	0.1309
COG0096	0.0000	0.9749	0.0068	0.8341	0.1144	0.9060	0.0733	0.9601	0.0162	0.9555	0.0213
COG0097	0.0000	0.9790	0.0055	0.8512	0.1076	0.9197	0.0584	0.9619	0.0128	0.9587	0.0167
COG0098	0.0000	0.9731	0.0062	0.8724	0.0695	0.9365	0.0391	0.9672	0.0110	0.9624	0.0140
COG0099	0.0000	0.9651	0.0099	0.8873	0.0428	0.9059	0.0593	0.9577	0.0171	0.9605	0.0148
COG0100	0.0000	0.9655	0.0119	0.8876	0.0595	0.9104	0.0643	0.9580	0.0178	0.9639	0.0148
COG0101	0.0000	0.9685	0.0142	0.9504	0.0215	0.9277	0.0457	0.9189	0.0250	0.9015	0.0338
COG0102	0.0100	0.9694	0.0094	0.9769	0.0107	0.9354	0.0202	0.9512	0.0113	0.9609	0.0106
COG0103	0.0000	0.9767	0.0067	0.9696	0.0111	0.9364	0.0268	0.9439	0.0171	0.9560	0.0118
COG0104	0.0500	0.9849	0.0028	0.9940	0.0017	0.9892	0.0028	0.9850	0.0042	0.8873	0.0552
COG0105	0.0000	0.9609	0.0217	0.9650	0.0175	0.9149	0.0339	0.8460	0.0349	0.6986	0.0583
COG0106	0.0200	0.9419	0.0246	0.9407	0.0254	0.9527	0.0209	0.9045	0.0460	0.3322	0.2184
COG0107	0.0000	0.9567	0.0184	0.9445	0.0193	0.9538	0.0192	0.9232	0.0268	0.3684	0.2008
COG0108	0.0000	0.9651	0.0137	0.9517	0.0313	0.9474	0.0188	0.9430	0.0240	0.8388	0.0764
COG0109	0.0000	0.0578	0.0235	0.0607	0.0302	0.0445	0.0239	0.0659	0.0353	0.0342	0.0167
COG0110	0.0000	0.6252	0.0689	0.5872	0.0723	0.4566	0.0669	0.4177	0.0775	0.4044	0.0934
COG0111	0.0000	0.9355	0.0296	0.8899	0.0652	0.8948	0.0490	0.8947	0.0266	0.6270	0.0847
COG0112	0.0200	0.9886	0.0040	0.9952	0.0019	0.9890	0.0039	0.9614	0.0081	0.9277	0.0215
COG0113	0.0000	0.9384	0.0310	0.9572	0.0209	0.7779	0.1325	0.4687	0.1990	0.1164	0.0711
COG0114	0.0000	0.1004	0.0613	0.1266	0.0794	0.0368	0.0203	0.0313	0.0126	0.0498	0.0144
COG0115	0.0100	0.9924	0.0027	0.9975	0.0011	0.9760	0.0094	0.9644	0.0157	0.6525	0.1544
COG0116	0.0000	0.1181	0.0809	0.0548	0.0424	0.1020	0.0823	0.1232	0.0633	0.0707	0.0442
COG0117	0.0000	0.9649	0.0110	0.9526	0.0190	0.9385	0.0175	0.9264	0.0264	0.8306	0.0664
COG0118	0.0000	0.8961	0.0435	0.8952	0.0449	0.8323	0.0804	0.8021	0.0723	0.2749	0.2071
COG0119	0.0100	0.9942	0.0014	0.9980	0.0008	0.9920	0.0028	0.9841	0.0075	0.5701	0.1830
COG0120	0.0000	0.0214	0.0168	0.0176	0.0129	0.0063	0.0065	0.0035	0.0026	0.0062	0.0042
COG0121	0.0000	0.1001	0.0348	0.1176	0.0465	0.0627	0.0221	0.0473	0.0183	0.0373	0.0130
COG0122	0.0000	0.1246	0.1056	0.1127	0.1092	0.0275	0.0125	0.0164	0.0049	0.0432	0.0152
COG0123	0.0000	0.9925	0.0036	0.9964	0.0012	0.9934	0.0026	0.9489	0.0252	0.3789	0.1643
COG0124	0.0000	0.9670	0.0092	0.9538	0.0143	0.9518	0.0130	0.9612	0.0103	0.9685	0.0088
COG0125	0.0000	0.9621	0.0699	0.9657	0.0637	0.9414	0.0781	0.9324	0.0830	0.9108	0.0839
COG0126	0.0000	0.9650	0.0121	0.9423	0.0235	0.9437	0.0269	0.9487	0.0188	0.9385	0.0265
COG0127	0.0000	0.9625	0.0107	0.9554	0.0189	0.9416	0.0180	0.9122	0.0285	0.8318	0.0461
COG0128	0.0000	0.9518	0.0205	0.9365	0.0333	0.9342	0.0283	0.8968	0.0480	0.4468	0.2261
COG0129	0.0100	0.9738	0.0105	0.9911	0.0043	0.9526	0.0120	0.9264	0.0157	0.3750	0.1922
COG0130	0.0000	0.9549	0.0220	0.9175	0.0653	0.9066	0.0552	0.8997	0.0517	0.8839	0.0683
COG0131	0.0000	0.9437	0.0196	0.9229	0.0221	0.9410	0.0209	0.8948	0.0442	0.3267	0.2186
COG0132	0.0000	0.3628	0.1073	0.4104	0.1282	0.1963	0.0566	0.3183	0.1106	0.3162	0.0939
COG0133	0.0000	0.9510	0.0198	0.9301	0.0355	0.9440	0.0212	0.9292	0.0229	0.6209	0.1892
COG0134	0.0000	0.9568	0.0158	0.9248	0.0292	0.9624	0.0115	0.9586	0.0120	0.5543	0.1984
COG0135	0.0000	0.9077	0.0537	0.8492	0.0870	0.9259	0.0342	0.8669	0.0537	0.4015	0.1866
COG0136	0.0000	0.9779	0.0061	0.9766	0.0102	0.9709	0.0115	0.9485	0.0133	0.8167	0.0997
COG0137	0.0000	0.9455	0.0151	0.9318	0.0204	0.8888	0.0516	0.8876	0.0503	0.4119	0.2068
COG0138	0.0000	0.9858	0.0061	0.9813	0.0120	0.9828	0.0072	0.9742	0.0094	0.8855	0.0967
COG0139	0.0000	0.9092	0.0312	0.8385	0.0425	0.9295	0.0253	0.8817	0.0462	0.2468	0.1980
COG0140	0.0000	0.0106	0.0194	0.0069	0.0133	0.0061	0.0112	0.0066	0.0064	0.0041	0.0045
COG0141	0.0000	0.9515	0.0160	0.9428	0.0133	0.9524	0.0137	0.9225	0.0187	0.3583	0.2026
COG0142	0.0000	0.9863	0.0081	0.9864	0.0070	0.9746	0.0146	0.9383	0.0494	0.8455	0.1151
COG0143	0.0000	0.2611	0.1362	0.2747	0.1327	0.2941	0.1392	0.4420	0.1113	0.5299	0.1356
COG0144	0.0100	0.8900	0.0855	0.9611	0.0261	0.4475	0.1952	0.2038	0.1602	0.1489	0.1020
COG0145	0.0000	0.8529	0.0554	0.9022	0.0352	0.6678	0.1096	0.2444	0.0738	0.0606	0.0414
COG0146	0.0000	0.3087	0.1481	0.4536	0.1570	0.1957	0.0972	0.0552	0.0345	0.0161	0.0099
COG0147	0.0100	0.9817	0.0057	0.9899	0.0048	0.9788	0.0069	0.9634	0.0278	0.5238	0.1994
COG0148	0.0100	0.9941	0.0028	0.9981	0.0011	0.9771	0.0064	0.9451	0.0146	0.8991	0.0342
COG0149	0.0000	0.9289	0.0311	0.9105	0.0421	0.9136	0.0408	0.9338	0.0243	0.9007	0.0335
COG0150	0.0000	0.9212	0.0246	0.8510	0.0648	0.9131	0.0185	0.9396	0.0153	0.8293	0.1189
COG0151	0.0000	0.9625	0.0082	0.9611	0.0101	0.9387	0.0175	0.9372	0.0116	0.8672	0.0986
COG0152	0.0000	0.9533	0.0123	0.9231	0.0247	0.9306	0.0224	0.9422	0.0111	0.8414	0.1119
COG0153	0.0000	0.7373	0.1289	0.8265	0.0853	0.6287	0.0894	0.2300	0.0827	0.1748	0.0645
COG0154	0.0000	0.9841	0.0077	0.9881	0.0070	0.9690	0.0123	0.9567	0.0121	0.9093	0.0251
COG0155	0.0100	0.0834	0.0175	0.2696	0.0638	0.0168	0.0052	0.0143	0.0070	0.0089	0.0036
COG0156	0.0100	0.9681	0.0142	0.9869	0.0072	0.8066	0.0700	0.5827	0.1114	0.6244	0.1256
COG0157	0.0000	0.8651	0.0372	0.8549	0.0478	0.9187	0.0249	0.8065	0.0647	0.6283	0.1518
COG0158	0.0000	0.0159	0.0170	0.0099	0.0071	0.0068	0.0031	0.0171	0.0083	0.0483	0.0343
COG0159	0.1000	0.9705	0.0157	0.9814	0.0121	0.9777	0.0134	0.9636	0.0168	0.5965	0.1853
COG0160	0.0800	0.9510	0.0177	0.9920	0.0038	0.9535	0.0192	0.8288	0.0565	0.1216	0.0474
COG0161	0.0000	0.3435	0.1099	0.3807	0.1144	0.2136	0.0904	0.2819	0.0871	0.2323	0.0772
COG0162	0.0000	0.9651	0.0056	0.9506	0.0100	0.9412	0.0155	0.9534	0.0104	0.9568	0.0098
COG0163	0.0000	0.9025	0.0419	0.9184	0.0386	0.8026	0.0887	0.4006	0.2043	0.0444	0.0310
COG0164	0.0000	0.9382	0.0214	0.8982	0.0448	0.9217	0.0234	0.9301	0.0199	0.8901	0.0503
COG0165	0.0100	0.9743	0.0091	0.9832	0.0081	0.9092	0.0420	0.9069	0.0426	0.3897	0.1792
COG0166	0.0000	0.8369	0.1352	0.8960	0.0773	0.4998	0.1686	0.4836	0.1427	0.7013	0.0914
COG0167	0.0000	0.9825	0.0048	0.9822	0.0067	0.9654	0.0150	0.9493	0.0132	0.8142	0.1147
COG0168	0.3900	0.9842	0.0087	0.9917	0.0024	0.9920	0.0032	0.9875	0.0023	0.9864	0.0045
COG0169	0.0000	0.9395	0.0333	0.9156	0.0509	0.9117	0.0509	0.8967	0.0511	0.5351	0.1875
COG0170	0.0000	0.3276	0.1032	0.2796	0.0802	0.3641	0.0999	0.3843	0.1012	0.2945	0.0916
COG0171	0.0000	0.9736	0.0106	0.9665	0.0170	0.9717	0.0066	0.9559	0.0080	0.9044	0.0348
COG0172	0.0000	0.9605	0.0156	0.9399	0.0259	0.9408	0.0184	0.9431	0.0150	0.9589	0.0080
COG0173	0.0100	0.9919	0.0020	0.9972	0.0010	0.9848	0.0057	0.9791	0.0059	0.9719	0.0081
COG0174	0.0000	0.9410	0.0297	0.9552	0.0224	0.9205	0.0386	0.8675	0.0526	0.5041	0.1475
COG0175	0.0000	0.5817	0.0802	0.7772	0.0637	0.5059	0.0942	0.3311	0.0677	0.1778	0.0546
COG0176	0.0000	0.9601	0.0314	0.9576	0.0359	0.8712	0.0543	0.6892	0.0613	0.3501	0.0970
COG0177	0.0100	0.9792	0.0089	0.9913	0.0050	0.9312	0.0257	0.8702	0.0420	0.8886	0.0267
COG0178	0.0000	0.9723	0.0134	0.9642	0.0151	0.9229	0.0431	0.8921	0.0489	0.9035	0.0552
COG0179	0.0000	0.8477	0.0806	0.8296	0.0876	0.5678	0.1370	0.4335	0.1248	0.1366	0.0536
COG0180	0.0000	0.9645	0.0091	0.9429	0.0135	0.9474	0.0129	0.9576	0.0120	0.9637	0.0137
COG0181	0.0100	0.9468	0.0221	0.9830	0.0067	0.7035	0.1513	0.4136	0.2238	0.1376	0.0678
COG0182	0.0300	0.9989	0.0007	0.9998	0.0001	0.9996	0.0003	0.9845	0.0076	0.7553	0.0750
COG0183	0.0100	0.8787	0.0655	0.9607	0.0240	0.2073	0.1499	0.2358	0.0623	0.2418	0.0570
COG0184	0.0100	0.9803	0.0075	0.9840	0.0082	0.9570	0.0155	0.9668	0.0085	0.9678	0.0073
COG0185	0.0000	0.9729	0.0080	0.7932	0.1761	0.8442	0.1177	0.9419	0.0183	0.9464	0.0222
COG0186	0.0000	0.9782	0.0079	0.8356	0.1478	0.8877	0.0906	0.9491	0.0241	0.9354	0.0310
COG0187	0.0000	0.9682	0.0097	0.9519	0.0112	0.9474	0.0134	0.9473	0.0152	0.9691	0.0110
COG0188	0.0000	0.9539	0.0175	0.9351	0.0142	0.9340	0.0232	0.9451	0.0158	0.9702	0.0098
COG0189	0.0000	0.2253	0.0952	0.2346	0.1145	0.0997	0.0509	0.1230	0.0657	0.1390	0.0422
COG0190	0.0000	0.9533	0.0180	0.9384	0.0275	0.9369	0.0229	0.9191	0.0300	0.9163	0.0508
COG0191	0.2400	0.9920	0.0043	0.9965	0.0019	0.9920	0.0066	0.9847	0.0078	0.9835	0.0081
COG0192	0.0100	0.9529	0.0230	0.9782	0.0133	0.8655	0.0697	0.8915	0.0453	0.9291	0.0381
COG0193	0.0300	0.9855	0.0046	0.9900	0.0040	0.9791	0.0090	0.9795	0.0032	0.9843	0.0036
COG0194	0.0200	0.9894	0.0045	0.9957	0.0018	0.9913	0.0041	0.9610	0.0149	0.9301	0.0336
COG0195	0.0000	0.9717	0.0046	0.9425	0.0112	0.9626	0.0120	0.9764	0.0072	0.9749	0.0067
COG0196	0.0000	0.9869	0.0031	0.9843	0.0053	0.9721	0.0131	0.9515	0.0189	0.9060	0.0675
COG0197	0.0000	0.9763	0.0079	0.8376	0.1479	0.8778	0.0921	0.9400	0.0240	0.9343	0.0335
COG0198	0.0000	0.9681	0.0093	0.7640	0.1751	0.8776	0.0949	0.9454	0.0228	0.9419	0.0323
COG0199	0.0000	0.8045	0.0640	0.5244	0.1849	0.6444	0.1339	0.7084	0.0641	0.7621	0.0508
COG0200	0.0000	0.9748	0.0066	0.8894	0.0609	0.9394	0.0392	0.9644	0.0122	0.9626	0.0146
COG0201	0.1000	0.9929	0.0042	0.9851	0.0125	0.9835	0.0115	0.9865	0.0072	0.9826	0.0092
COG0202	0.0100	0.9881	0.0035	0.9865	0.0075	0.9390	0.0343	0.9662	0.0093	0.9674	0.0091
COG0203	0.0000	0.9775	0.0083	0.9534	0.0193	0.9138	0.0466	0.9488	0.0156	0.9548	0.0151
COG0204	0.0000	0.9585	0.0241	0.9504	0.0247	0.9272	0.0344	0.9293	0.0331	0.9653	0.0198
COG0205	0.0000	0.9919	0.0142	0.9947	0.0086	0.9815	0.0280	0.9273	0.0596	0.8988	0.0661
COG0206	0.0000	0.9685	0.0063	0.9368	0.0148	0.9417	0.0186	0.9180	0.0505	0.8546	0.0904
COG0207	0.0000	0.0448	0.0405	0.0204	0.0193	0.1133	0.1182	0.2099	0.1504	0.1909	0.1132
COG0208	0.0000	0.0056	0.0030	0.0052	0.0030	0.0055	0.0023	0.0089	0.0044	0.0382	0.0191
COG0209	0.0100	0.9880	0.0055	0.9960	0.0022	0.8797	0.0435	0.8156	0.0599	0.5896	0.1232
COG0210	0.0000	0.9821	0.0056	0.9753	0.0058	0.9646	0.0089	0.9506	0.0117	0.9681	0.0114
COG0211	0.0000	0.9790	0.0054	0.9667	0.0119	0.9557	0.0137	0.9238	0.0342	0.9494	0.0190
COG0212	0.0000	0.3287	0.1279	0.2239	0.1309	0.4713	0.1489	0.7240	0.0926	0.5015	0.1289
COG0213	0.0000	0.8301	0.0631	0.8473	0.0560	0.6899	0.1200	0.3066	0.1040	0.2286	0.1042
COG0214	0.0000	0.8809	0.0462	0.8807	0.0465	0.6714	0.2459	0.1224	0.0640	0.0611	0.0500
COG0215	0.0000	0.9675	0.0121	0.9448	0.0211	0.9395	0.0214	0.9548	0.0133	0.9644	0.0099
COG0216	0.0000	0.9820	0.0029	0.9746	0.0059	0.9636	0.0070	0.9670	0.0054	0.9745	0.0033
COG0217	0.0100	0.9732	0.0103	0.9826	0.0076	0.9491	0.0206	0.9520	0.0199	0.9639	0.0130
COG0218	0.0000	0.2931	0.1797	0.1875	0.1193	0.0830	0.0510	0.0730	0.0393	0.1871	0.0762
COG0219	0.0000	0.0901	0.0936	0.0688	0.0594	0.0438	0.0358	0.0226	0.0098	0.0791	0.0422
COG0220	0.0000	0.2026	0.0596	0.1853	0.0479	0.0910	0.0483	0.0730	0.0256	0.2121	0.0655
COG0221	0.0000	0.0504	0.0139	0.0368	0.0125	0.0279	0.0065	0.0236	0.0056	0.0415	0.0118
COG0222	0.0000	0.9596	0.0124	0.8950	0.0547	0.9090	0.0516	0.9215	0.0190	0.9375	0.0137
COG0223	0.0100	0.9787	0.0101	0.9866	0.0078	0.9622	0.0170	0.9642	0.0124	0.9591	0.0205
COG0224	0.0000	0.9507	0.0179	0.9171	0.0371	0.8416	0.0474	0.5885	0.1164	0.5214	0.1785
COG0225	0.0000	0.6781	0.1321	0.6878	0.0890	0.3305	0.0893	0.2054	0.0423	0.1762	0.0830
COG0226	0.0000	0.8006	0.0867	0.7283	0.1371	0.7286	0.1295	0.6364	0.1719	0.3068	0.1085
COG0227	0.0000	0.8991	0.0286	0.8198	0.0514	0.8371	0.0579	0.8190	0.0533	0.8824	0.0438
COG0228	0.0000	0.9773	0.0072	0.9657	0.0107	0.9554	0.0154	0.9520	0.0128	0.9661	0.0112
COG0229	0.0000	0.0908	0.0493	0.0681	0.0493	0.0352	0.0222	0.0316	0.0151	0.0303	0.0115
COG0230	0.0000	0.2114	0.0453	0.1526	0.0475	0.1751	0.0613	0.2586	0.0667	0.3468	0.0790
COG0231	0.0000	0.9628	0.0080	0.9444	0.0128	0.9220	0.0227	0.9408	0.0158	0.9443	0.0205
COG0232	0.0000	0.7575	0.1523	0.8087	0.1481	0.7676	0.1209	0.8118	0.0717	0.5220	0.1262
