COG_ID	input_prob	mean_actual	sd_actual	mean_>0	sd_>0	mean_>0.01	sd_>0.01	mean_>0.04	sd_>0.04	mean_>0.099	sd_>0.099
COG3173	0.0000	0.1502	0.0891	0.1406	0.0834	0.0556	0.0336	0.0669	0.0283	0.0593	0.0224
COG3174	0.0000	0.0462	0.0206	0.0580	0.0360	0.0256	0.0153	0.0264	0.0097	0.0107	0.0044
COG3175	0.0000	0.0218	0.0683	0.0223	0.0697	0.0185	0.0576	0.0181	0.0554	0.0185	0.0514
COG3176	0.0000	0.0106	0.0177	0.0126	0.0223	0.0094	0.0166	0.0242	0.0302	0.0378	0.0313
COG3177	0.0000	0.2431	0.0644	0.1865	0.0531	0.1310	0.0415	0.1116	0.0530	0.1863	0.0681
COG3178	0.0000	0.0124	0.0074	0.0127	0.0096	0.0218	0.0204	0.0487	0.0242	0.0487	0.0247
COG3179	0.0000	0.0153	0.0075	0.0103	0.0066	0.0091	0.0047	0.0082	0.0053	0.0051	0.0039
COG3180	0.0100	0.3172	0.1379	0.6128	0.1289	0.0280	0.0074	0.0129	0.0077	0.0069	0.0037
COG3181	0.0000	0.7399	0.1069	0.8387	0.1162	0.2712	0.1191	0.1003	0.0250	0.0481	0.0178
COG3182	0.0000	0.0143	0.0043	0.0182	0.0048	0.0092	0.0039	0.0089	0.0044	0.0058	0.0024
COG3183	0.0000	0.0370	0.0118	0.0242	0.0073	0.0245	0.0070	0.0151	0.0037	0.0154	0.0040
COG3184	0.0000	0.0071	0.0060	0.0087	0.0080	0.0089	0.0055	0.0191	0.0087	0.0174	0.0072
COG3185	0.0000	0.0660	0.0273	0.0588	0.0184	0.0157	0.0063	0.0140	0.0048	0.0144	0.0069
COG3186	0.0000	0.0004	0.0002	0.0004	0.0001	0.0003	0.0001	0.0005	0.0002	0.0019	0.0011
COG3187	0.0000	0.0207	0.0117	0.0173	0.0113	0.0213	0.0127	0.0144	0.0069	0.0190	0.0118
COG3188	0.0000	0.0485	0.0237	0.0345	0.0192	0.0314	0.0158	0.0366	0.0128	0.0168	0.0044
COG3189	0.0000	0.2523	0.0726	0.3516	0.0849	0.0846	0.0319	0.0535	0.0179	0.0184	0.0080
COG3190	0.0000	0.3132	0.1322	0.2414	0.1649	0.2691	0.1304	0.1485	0.0747	0.1424	0.0707
COG3191	0.0000	0.2844	0.0706	0.3550	0.1222	0.0914	0.0329	0.0599	0.0154	0.0223	0.0115
COG3192	0.0000	0.0192	0.0079	0.0190	0.0068	0.0072	0.0042	0.0028	0.0026	0.0023	0.0016
COG3193	0.0000	0.1297	0.0758	0.1178	0.0707	0.0324	0.0242	0.0174	0.0143	0.0153	0.0115
COG3194	0.0000	0.0597	0.0420	0.0535	0.0380	0.0241	0.0135	0.0110	0.0056	0.0088	0.0035
COG3195	0.0000	0.0016	0.0007	0.0014	0.0007	0.0015	0.0009	0.0010	0.0005	0.0016	0.0007
COG3196	0.0000	0.0025	0.0010	0.0030	0.0014	0.0016	0.0008	0.0011	0.0006	0.0014	0.0006
COG3197	0.0000	0.0048	0.0030	0.0057	0.0043	0.0031	0.0012	0.0053	0.0052	0.0028	0.0010
COG3198	0.0000	0.0012	0.0021	0.0010	0.0017	0.0011	0.0015	0.0012	0.0015	0.0016	0.0024
COG3199	0.0000	0.0715	0.0266	0.0911	0.0282	0.0300	0.0114	0.0069	0.0036	0.0041	0.0024
COG3200	0.0000	0.0010	0.0006	0.0014	0.0009	0.0011	0.0009	0.0024	0.0018	0.0046	0.0026
COG3201	0.0000	0.0014	0.0013	0.0013	0.0013	0.0012	0.0009	0.0040	0.0028	0.0138	0.0099
COG3202	0.0000	0.0126	0.0084	0.0200	0.0146	0.0097	0.0051	0.0179	0.0104	0.0591	0.0387
COG3203	0.0000	0.4795	0.1559	0.4836	0.1807	0.2439	0.0577	0.2943	0.0354	0.1718	0.0573
COG3204	0.0000	0.0100	0.0038	0.0135	0.0056	0.0124	0.0042	0.0139	0.0056	0.0156	0.0063
COG3205	0.0000	0.0342	0.0297	0.0337	0.0297	0.0492	0.0340	0.0608	0.0318	0.0377	0.0254
COG3206	0.0000	0.5954	0.1299	0.4603	0.1384	0.5180	0.1528	0.4873	0.1418	0.1809	0.0744
COG3207	0.0000	0.0003	0.0001	0.0003	0.0001	0.0003	0.0001	0.0004	0.0003	0.0006	0.0003
COG3208	0.0000	0.0141	0.0068	0.0101	0.0047	0.0036	0.0017	0.0021	0.0014	0.0012	0.0011
