COG_ID	input_prob	mean_actual	sd_actual	mean_>0	sd_>0	mean_>0.01	sd_>0.01	mean_>0.04	sd_>0.04	mean_>0.099	sd_>0.099
COG0047	0.9998	0.9912	0.0191	0.9985	0.0016	0.9940	0.0105	0.9936	0.0100	0.9928	0.0079
COG0048	1.0000	0.9992	0.0009	0.9975	0.0037	0.9994	0.0006	0.9997	0.0003	0.9996	0.0004
COG0049	1.0000	0.9994	0.0011	0.9985	0.0025	0.9996	0.0006	0.9997	0.0003	0.9997	0.0004
COG0050	1.0000	0.9992	0.0008	0.9996	0.0005	0.9995	0.0004	0.9996	0.0003	0.9995	0.0004
COG0051	1.0000	0.9988	0.0008	0.9952	0.0031	0.9991	0.0006	0.9993	0.0004	0.9994	0.0004
COG0052	1.0000	0.9999	0.0001	0.9993	0.0013	0.9997	0.0004	0.9998	0.0002	0.9999	0.0001
COG0053	1.0000	0.9946	0.0086	0.9985	0.0027	0.9949	0.0090	0.9916	0.0163	0.9928	0.0113
COG0054	0.9998	0.9908	0.0106	0.9961	0.0084	0.9679	0.0448	0.9854	0.0171	0.9833	0.0243
COG0055	1.0000	0.9880	0.0186	0.9926	0.0152	0.9900	0.0192	0.9944	0.0088	0.9921	0.0104
COG0056	1.0000	0.9951	0.0068	0.9968	0.0052	0.9970	0.0045	0.9982	0.0026	0.9966	0.0039
COG0057	1.0000	0.9984	0.0027	0.9985	0.0025	0.9977	0.0046	0.9992	0.0014	0.9994	0.0007
COG0058	1.0000	0.9504	0.1085	0.9951	0.0153	0.9808	0.0421	0.9721	0.0669	0.9673	0.0757
COG0059	0.9998	0.9990	0.0009	0.9996	0.0005	0.9989	0.0022	0.9984	0.0023	0.9983	0.0020
COG0060	1.0000	1.0000	0.0000	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000
COG0061	1.0000	0.9978	0.0024	0.9987	0.0020	0.9983	0.0017	0.9983	0.0016	0.9970	0.0027
COG0062	1.0000	0.9997	0.0006	1.0000	0.0000	0.9999	0.0002	0.9997	0.0007	0.9996	0.0010
COG0063	1.0000	0.0075	0.0131	0.0006	0.0009	0.0008	0.0006	0.0038	0.0024	0.0030	0.0027
COG0064	1.0000	0.9995	0.0009	0.9999	0.0002	0.9998	0.0003	0.9998	0.0004	0.9996	0.0006
COG0065	1.0000	0.9999	0.0002	1.0000	0.0001	0.9995	0.0014	0.9998	0.0003	0.9999	0.0001
COG0066	1.0000	0.9997	0.0003	0.9996	0.0006	0.9994	0.0015	0.9995	0.0007	0.9995	0.0005
COG0067	0.9992	0.9391	0.0607	0.9831	0.0204	0.9625	0.0446	0.9395	0.0598	0.9706	0.0285
COG0068	0.9998	0.9998	0.0001	1.0000	0.0000	0.9999	0.0002	0.9997	0.0003	0.9997	0.0003
COG0069	0.9993	0.8137	0.0740	0.5911	0.2181	0.7666	0.0986	0.7909	0.0796	0.7750	0.0930
COG0070	0.9992	0.8938	0.1216	0.7082	0.1887	0.8477	0.1571	0.8998	0.1055	0.8857	0.1095
COG0071	1.0000	0.9996	0.0004	1.0000	0.0000	0.9999	0.0001	0.9996	0.0005	0.9992	0.0008
COG0072	1.0000	0.9999	0.0001	0.9992	0.0016	0.9999	0.0001	1.0000	0.0000	1.0000	0.0000
COG0073	1.0000	0.1559	0.1598	0.0818	0.1380	0.1121	0.1211	0.1611	0.1488	0.2264	0.1514
COG0074	1.0000	0.9887	0.0169	0.9997	0.0004	0.9960	0.0040	0.9825	0.0182	0.9865	0.0121
COG0075	1.0000	0.9994	0.0007	0.9999	0.0002	0.9990	0.0013	0.9988	0.0014	0.9981	0.0024
COG0076	0.9962	0.4028	0.1766	0.7260	0.1865	0.4074	0.2272	0.3998	0.2328	0.3368	0.2317
COG0077	1.0000	0.9889	0.0142	0.9968	0.0044	0.9958	0.0058	0.9913	0.0128	0.9833	0.0217
COG0078	1.0000	0.9990	0.0027	0.9998	0.0006	0.9994	0.0018	0.9996	0.0011	0.9998	0.0005
COG0079	1.0000	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000
COG0080	1.0000	0.9988	0.0020	0.9968	0.0060	0.9988	0.0019	0.9994	0.0007	0.9993	0.0009
COG0081	1.0000	0.9995	0.0007	0.9990	0.0012	0.9994	0.0007	0.9998	0.0002	0.9997	0.0003
COG0082	1.0000	0.9993	0.0008	0.9998	0.0003	0.9995	0.0006	0.9994	0.0006	0.9989	0.0010
COG0083	0.9999	0.8684	0.2836	0.9013	0.3065	0.9204	0.2000	0.9213	0.1694	0.8583	0.2092
