COG_ID	input_prob	input_present	candidate	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus	anchor_support
COG0092	1	1	1	0.999997	2.93046e-06	0.999986	1.48364e-05	0.999918	7.87766e-05	1.18017e-05	7.9155e-05	7.57916	0.9985	1	0.99994
COG0093	1	1	1	0.999999	5.27762e-07	0.999994	3.94252e-06	0.999962	3.14231e-05	4.58956e-06	3.70145e-05	8.32249	0.998431	1	0.999939
COG0094	1	1	1	1	3.46528e-07	0.999997	3.55611e-06	0.999977	1.70468e-05	2.98023e-06	2.22325e-05	8.79958	0.999202	1	0.999926
COG0095	1	1	1	0.99941	0.00049511	0.996817	0.00196042	0.989773	0.007093	0.00259256	0.0096367	5.28513	0.955891	0.990625	0.990867
COG0096	1	1	1	0.999999	5.33453e-07	0.999993	7.96169e-06	0.999958	2.67921e-05	6.55651e-06	4.16636e-05	8.14292	0.998966	1	0.999896
COG0097	1	1	1	0.999999	9.55163e-07	0.999993	7.79126e-06	0.999957	3.39951e-05	6.19888e-06	4.20809e-05	8.10179	0.999101	1	0.999908
COG0098	1	1	1	0.999981	3.31447e-05	0.999859	0.000230506	0.999466	0.000465995	0.000122368	0.000514984	5.47264	0.998457	1	0.999864
COG0099	1	1	1	0.999927	8.39602e-05	0.999276	0.000837265	0.996292	0.00410323	0.000651479	0.00363487	3.37475	0.989984	1	0.999969
COG0100	1	1	1	0.999915	9.07328e-05	0.999299	0.000736362	0.995479	0.00538621	0.000615895	0.00443554	3.27523	0.983888	1	0.999927
COG0101	1	1	1	0.994261	0.00680018	0.983582	0.0239886	0.945437	0.0892796	0.0106787	0.0488238	0.973367	0.996085	1	0.969779
COG0102	1	1	1	0.999799	0.00032391	0.998746	0.00174656	0.993832	0.00810558	0.00105256	0.00596648	2.56227	0.993364	1	0.999439
COG0103	1	1	1	0.999788	0.000364642	0.999143	0.00133025	0.996346	0.00709355	0.000644982	0.00344211	3.50865	0.997692	1	0.996647
COG0104	1	1	1	0.998762	0.00136195	0.996709	0.00549888	0.990686	0.0198037	0.00205326	0.00807536	3.10084	0.996175	1	0.969861
COG0105	1	1	1	0.988689	0.0266446	0.976248	0.0478533	0.95528	0.0901203	0.012441	0.0334094	2.11098	0.997448	1	0.983133
COG0106	0.9992	1	1	0.9992	0.00134847	0.997834	0.00372573	0.994691	0.0112547	0.00136626	0.00450879	4.28869	0.989868	1	0.892266
COG0107	1	1	1	0.999502	0.00113033	0.998276	0.00353595	0.996653	0.00752689	0.00122565	0.00284845	4.72926	0.994498	1	0.836467
COG0108	0.9998	1	1	0.998752	0.0018627	0.996211	0.00428119	0.994996	0.00764117	0.00254112	0.00375575	4.68629	0.998305	1	0.957538
COG0109	0.9989	1	1	0.0389025	0.0332076	0.0142807	0.0109665	0.00570789	0.00356232	0.0246218	0.0331946	-5.24387	0.811409	0.853125	0.00244598
COG0110	1	1	1	0.702077	0.17556	0.498617	0.223436	0.311301	0.239843	0.20346	0.390776	-1.5961	0.991713	1	0.0204271
COG0111	1	1	1	0.994614	0.00962229	0.990517	0.0127918	0.98516	0.0255064	0.00409752	0.00945491	2.73575	0.998119	1	0.959889
COG0112	1	1	1	0.999887	0.000199446	0.999547	0.000885771	0.998457	0.00362776	0.000340819	0.00143027	4.45987	0.998587	1	0.997752
COG0113	1	1	1	0.999109	0.000911847	0.997817	0.00257227	0.994926	0.00810502	0.00129163	0.00418288	4.86632	0.996292	1	0.631917
COG0114	0.9979	1	1	0.048756	0.105568	0.0131517	0.0245654	0.00334493	0.00450678	0.0356043	0.045411	-5.68555	0.778257	0.84375	0.00196596
COG0115	1	1	1	0.999564	0.000967905	0.998434	0.0040365	0.995805	0.0117332	0.00112998	0.00375861	3.85663	0.999675	1	0.982343
COG0116	0.9994	1	1	0.5456	0.180655	0.390402	0.208328	0.249366	0.24521	0.155198	0.296234	-0.982183	0.893614	0.965625	0.0051354
COG0117	0.9998	1	1	0.999509	0.000510717	0.998112	0.00205464	0.996558	0.00459651	0.00139683	0.00295067	5.11679	0.998266	1	0.944561
COG0118	1	1	1	0.994916	0.00641286	0.985631	0.0255221	0.962518	0.0763658	0.00928503	0.0323979	2.3566	0.982693	0.99375	0.0716121
COG0119	1	1	1	0.999714	0.000460457	0.999082	0.00174168	0.998157	0.00401339	0.000632465	0.00155675	4.9306	0.999403	1	0.982148
COG0120	0.0124	1	1	0.0212951	0.0509516	0.0209508	0.0500944	0.00521973	0.0110681	0.000344323	0.0160754	-4.66065	0.417138	0.365625	0.00137124
COG0121	0.0066	1	1	0.0329738	0.0328045	0.0326955	0.0324748	0.0100863	0.0104285	0.000278343	0.0228875	-3.48756	0.279962	0.153125	0.00165077
COG0122	0.9974	1	1	0.157579	0.284491	0.124916	0.277314	0.0931571	0.241701	0.0326627	0.0644221	-2.62412	0.917563	0.984375	0.00988997
COG0123	1	1	1	0.99997	5.23955e-05	0.999925	0.000128496	0.999886	0.000178432	4.47631e-05	8.39233e-05	9.11228	0.999273	1	0.939265
COG0124	1	1	1	0.999866	0.000227192	0.999055	0.00156077	0.994712	0.00961762	0.000810742	0.00515389	2.16201	0.994551	1	0.997068
COG0125	1	1	1	0.999457	0.00102843	0.99863	0.00137758	0.997425	0.00159943	0.000826597	0.00203174	3.96293	0.996296	1	0.995847
COG0126	1	1	1	0.999344	0.000992102	0.995614	0.00812047	0.977956	0.0517132	0.00373012	0.0213876	1.18508	0.995279	1	0.999158
COG0127	1	1	1	0.999655	0.000366967	0.998599	0.00221756	0.993476	0.0129875	0.00105542	0.00617856	3.02449	0.996554	1	0.966572
COG0128	1	1	1	0.999579	0.000443378	0.998601	0.00148956	0.997642	0.00358978	0.000977457	0.00193691	4.6416	0.998154	1	0.790338
COG0129	0.9996	1	1	0.985832	0.0131614	0.963516	0.0314638	0.933298	0.070151	0.0223162	0.0525337	1.75842	0.993285	1	0.889996
