COG_ID	input_prob	input_present	candidate	truth	known_fp	true_input	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG1631	1	1	1	1	0	1	0.000313014	0	9.82583e-05	0	2.92063e-05	0	0.000214756	0.000283808	-7.02285	0.112561	0.125
COG1634	1	1	1	1	0	1	0.00267434	0	0.000745237	0	0.00020346	0	0.0019291	0.00247088	-4.30907	0.0506681	0.03125
COG1653	1	1	1	0	1	0	0.968328	0	0.885013	0	0.65007	0	0.0833145	0.318258	0.154719	0.799586	0.90625
COG1664	1	1	1	0	1	0	0.93622	0	0.783223	0	0.428169	0	0.152998	0.508051	0.11742	0.45414	0.40625
COG1665	1	1	1	1	0	1	0.008605	0	0.00154111	0	0.000283927	0	0.0070639	0.00832108	-4.13896	0.0449181	0.03125
COG1666	1	1	1	0	1	0	0.912357	0	0.773196	0	0.594406	0	0.139161	0.317951	0.94381	0.390536	0.4375
COG1707	1	1	1	1	0	1	0.00990957	0	0.00265822	0	0.000819474	0	0.00725135	0.0090901	-2.57074	0.0101236	0
COG1709	1	1	1	1	0	1	0.0455081	0	0.00923544	0	0.00187284	0	0.0362726	0.0436352	-2.37944	0.154923	0.15625
COG1728	1	1	1	0	1	0	0.00305116	0	0.0011158	0	0.000458151	0	0.00193536	0.00259301	-5.15884	0.00273726	0
COG1739	1	1	1	0	1	0	0.817396	0	0.49136	0	0.227034	0	0.326036	0.590362	-1.12137	0.433542	0.4375
COG1740	1	1	1	0	1	0	0.318002	0	0.128956	0	0.0485515	0	0.189045	0.26945	-1.04329	0.161723	0
COG1744	1	1	1	0	1	0	0.991396	0	0.968346	0	0.901011	0	0.0230498	0.0903853	2.40578	0.80973	0.875
COG1760	1	1	1	0	1	0	0.921051	0	0.704616	0	0.374232	0	0.216435	0.546819	-0.171635	0.489258	0.4375
COG1764	1	1	1	0	1	0	0.916415	0	0.736856	0	0.435049	0	0.179559	0.481366	0.399791	0.498088	0.5
COG1770	1	1	1	0	1	0	0.601697	0	0.337022	0	0.133623	0	0.264675	0.468074	-0.643748	0.33725	0.3125
COG1784	1	1	1	1	0	1	0.0826037	0	0.0271065	0	0.00910231	0	0.0554972	0.0735013	-1.24082	0.226153	0.15625
COG1813	1	1	1	1	0	1	0.914822	0	0.738839	0	0.433558	0	0.175983	0.481264	0.900577	0.575287	0.59375
COG1820	1	1	1	0	1	0	0.753616	0	0.397816	0	0.15214	0	0.3558	0.601476	-1.4711	0.454149	0.40625
COG1839	1	1	1	0	1	0	0.184098	0	0.0515474	0	0.0114473	0	0.13255	0.17265	-1.64474	0.263911	0.1875
COG1860	1	1	1	1	0	1	0.000654936	0	0.000161737	0	3.93987e-05	0	0.000493199	0.000615537	-5.38116	0.0514759	0.03125
COG1893	1	1	1	0	1	0	0.984559	0	0.942494	0	0.834867	0	0.0420647	0.149691	1.76818	0.790854	0.875
COG1899	1	1	1	1	0	1	0.920593	0	0.689153	0	0.317468	0	0.23144	0.603125	0.816203	0.645883	0.65625
COG1915	1	1	1	1	0	1	0.373493	0	0.167386	0	0.0497423	0	0.206107	0.32375	-0.39158	0.247013	0.21875
