COG	Node_GCA-000006805.1_AP024487.1_0
COG1042	0.13
COG1047	0.9505
COG1048	0.01
COG1053	0.09
COG1055	0.01
COG1056	0.04
COG1058	0.02
COG1067	0.41
COG1071	0.17
COG1078	0.19
COG1084	0.37
COG1092	0.01
COG1093	0.07
COG1094	0.01
COG1095	0.79
COG1097	0.15
COG1100	0.8
COG1102	0.44
COG1103	0.02
COG1104	0.03
COG1108	0.34
COG1109	0.2
COG1110	0.01
COG1111	0.76
COG1116	0.41
COG1117	0.3
COG1120	0.0892
COG1121	0.01
COG1122	0.28
COG1123	0.34
COG1126	0.07
COG1131	0.2377
COG1134	0.01
COG1136	0.01
COG1142	0.01
COG1143	0.03
COG1144	0.71
COG1145	0.11528
COG1148	0.02
COG1149	0.14
COG1150	0.15
COG1151	0.11
COG1153	0.37
COG1155	0.28
COG1156	0.07
COG1167	0.19
COG1171	0.01
COG1180	0.4852
COG1183	0.06
COG1184	0.03
COG1196	0.82
COG1199	0.46
COG1201	0.25
COG1204	0.46
COG1208	0.1658
COG1209	0.01
COG1210	0.01
COG1213	0.01
COG1224	0.11
COG1229	0.05
COG1232	0.01
COG1233	0.01
COG1234	0.95
COG1236	0.0882
COG1237	0.04
COG1239	0.01
COG1241	0.93
COG1243	0.42
COG1245	0.97
COG1250	0.05
COG1254	0.27
COG1257	0.0298
COG1258	0.01
COG1260	0.14
COG1266	0.13
COG1267	0.06
COG1277	0.12
COG1287	0.01
COG1293	0.24
COG1297	0.01
COG1303	0.02
COG1304	0.83
COG1308	0.13
COG1311	0.88
COG1313	0.03
COG1325	0.01
COG1328	0.05
COG1331	0.01
COG1337	0.01
COG1339	0.05
COG1340	0.25
COG1341	0.01
COG1342	0.11
COG1351	0.03
COG1352	0.02
COG1354	0.01
COG1355	0.05
COG1358	0.83
COG1363	0.14
COG1374	0.04
COG1383	0.7
COG1386	0.82
COG1390	0.02
COG1392	0.55
COG1394	0.01
COG1395	0.01
COG1400	0.49
COG1401	0.03
COG1403	0.01
COG1404	0.4
COG1405	0.08
COG1407	0.37
COG1409	0.07
COG1411	0.04
COG1412	0.58
COG1413	0.01
COG1418	0.02
COG1422	0.03
COG1432	0.01
COG1436	0.54
COG1439	0.65
COG1446	0.24
COG1456	0.02
COG1457	0.03
COG1458	0.01
COG1465	0.45
COG1468	0.2
COG1469	0.12
COG1470	0.01
COG1471	0.01
COG1474	0.2
COG1478	0.26
COG1487	0.81
COG1491	0.29
COG1498	0.6
COG1502	0.01
COG1503	0.21
COG1506	0.02
COG1509	0.02
COG1510	0.9
COG1514	0.35
COG1515	0.2
COG1522	0.577468
COG1526	0.08
COG1529	0.04
COG1531	0.01
COG1533	0.03
COG1545	0.65
COG1549	0.1
COG1553	0.04
COG1563	0.02
COG1569	0.04
COG1571	0.04
COG1573	0.15
COG1574	0.01
COG1577	0.06
COG1583	0.03
COG1591	0.01
COG1598	0.01
COG1599	0.23
COG1601	0.14
COG1602	0.23
COG1604	0.01
COG1606	0.43
COG1614	0.1
COG1628	0.01
COG1630	0.2062
COG1631	0.02
COG1632	0.03
COG1633	0.01
COG1634	0.01
COG1635	0.1
COG1637	0.45
COG1641	0.08
COG1644	0.8
COG1650	0.07
COG1656	0.01
COG1658	0.59
COG1665	0.03
COG1672	0.06
COG1675	0.16
COG1676	0.01
COG1679	0.01
COG1682	0.01
COG1685	0.03
COG1688	0.01
COG1690	0.94
COG1691	0.22
COG1695	0.01
COG1698	0.01
COG1701	0.01
COG1703	0.01
COG1708	0.11576
COG1709	0.99
COG1711	0.11
COG1712	0.27
COG1714	0.02
COG1718	0.15
COG1719	0.1909
COG1720	0.07
COG1721	0.02
COG1727	0.24
COG1730	0.36
COG1733	0.11
COG1736	0.02
COG1746	0.38
COG1750	0.09
COG1751	0.42
COG1753	0.0496
COG1756	0.03
COG1758	0.64
COG1759	0.01
COG1761	0.01
COG1763	0.05
COG1765	0.02
COG1777	0.09
COG1781	0.36
COG1782	0.97
COG1784	0.25
COG1786	0.01
COG1793	0.5776
COG1795	0.02
COG1797	0.02
COG1798	0.01
COG1808	0.26
COG1810	0.02
COG1812	0.18
COG1814	0.0199
COG1817	0.04
COG1818	0.01
COG1819	0.02
COG1828	0.05
COG1829	0.03
COG1830	0.02
COG1836	0.8
COG1838	0.02
COG1841	0.01
COG1848	0.06
COG1852	0.02
COG1853	0.01
COG1855	0.12
COG1857	0.02
COG1859	0.03
COG1860	0.02
COG1865	0.01
COG1866	0.01
COG1867	0.31
COG1872	0.08
COG1873	0.01
COG1880	0.07
COG1881	0.03
COG1888	0.01
COG1889	0.29
COG1890	0.21
COG1892	0.01
COG1896	0.01
COG1899	0.14
COG1900	0.04
COG1901	0.1
COG1906	0.02
COG1909	0.13
COG1912	0.03
COG1915	0.52
COG1917	0.0298
COG1918	0.45
COG1920	0.03
COG1924	0.4904
COG1926	0.03
COG1931	0.68
COG1933	0.99
COG1938	0.01
COG1941	0.26
COG1945	0.13
COG1951	0.12
COG1955	0.1
COG1960	0.0991
COG1961	0.01
COG1962	0.26
COG1964	0.38
COG1971	0.01
COG1973	0.01
COG1976	0.91
COG1977	0.07
COG1985	0.06
COG1986	0.1
COG1988	0.01
COG1989	0.03
COG1993	0.01
COG1994	0.0397
COG2002	0.087424
COG2004	0.01
COG2007	0.07
COG2014	0.01
COG2016	0.04
COG2019	0.11
COG2020	0.1
COG2024	0.43
COG2025	0.07
COG2026	0.02
COG2034	0.04
COG2037	0.07
COG2043	0.09
COG2045	0.02
COG2046	0.24
COG2047	0.4
COG2048	0.12
COG2050	0.02
COG2051	0.01
COG2053	0.22
COG2055	0.07
COG2061	0.01
COG2064	0.5575
COG2069	0.19
COG2074	0.01
COG2083	0.24
COG2085	0.09
COG2086	0.118
COG2092	0.04
COG2093	0.18
COG2095	0.83
COG2097	0.16
COG2100	0.11
COG2101	0.01
COG2109	0.04
COG2111	0.02
COG2112	0.01
COG2118	0.07
COG2120	0.12
COG2122	0.3
COG2123	0.01
COG2125	0.45
COG2129	0.15
COG2139	0.55
COG2144	0.17
COG2147	0.04
COG2150	0.05
COG2151	0.01
COG2152	0.09
COG2159	0.01
COG2174	0.03
COG2178	0.06
COG2189	0.04
COG2201	0.03
COG2202	0.01
COG2203	0.01
COG2204	0.02
COG2218	0.05
COG2220	0.02
COG2226	0.43
COG2234	0.02
COG2236	0.2
COG2237	0.99
COG2238	0.13
COG2248	0.28
COG2252	0.01
COG2260	0.07
COG2262	0.02
COG2263	0.41
COG2304	0.01
COG2309	0.44
COG2319	0.06
COG2345	0.02
COG2361	0.02
COG2402	0.02
COG2403	0.09
COG2405	0.02
COG2406	0.01
COG2412	0.02
COG2414	0.02
COG2421	0.01
COG2440	0.01
COG2445	0.38
COG2450	0.22
COG2452	0.01
COG2509	0.01
COG2511	0.4
COG2512	0.04
COG2517	0.01
COG2518	0.85
COG2519	0.03
COG2520	0.32
COG2522	0.01
COG2607	0.01
COG2608	0.08
COG2810	0.02
COG2811	0.02
COG2820	0.01
COG2848	0.1
COG2890	0.13
COG2892	0.08
COG2896	0.08
COG2897	0.01
COG2936	0.01
COG2987	0.01
COG3174	0.03
COG3199	0.15
COG3252	0.02
COG3260	0.02
COG3261	0.15
COG3262	0.01
COG3269	0.09
COG3272	0.01
COG3277	0.01
COG3291	0.04
COG3325	0.05
COG3351	0.01
COG3353	0.01
COG3356	0.05
COG3367	0.01
COG3371	0.05
COG3379	0.01
COG3382	0.05
COG3384	0.01
COG3387	0.01
COG3389	0.23
COG3390	0.01
COG3413	0.04
COG3420	0.068608
COG3425	0.34
COG3428	0.01
COG3430	0.01
COG3503	0.01
COG3640	0.05
COG3642	0.59
COG3774	0.01
COG3808	0.03
COG3830	0.33
COG3839	0.01
COG3842	0.07
COG3845	0.01
COG3894	0.06
COG3920	0.01
COG4003	0.05
COG4008	0.03
COG4052	0.01
COG4063	0.07
COG4070	0.01
COG4083	0.37
COG4089	0.03
COG4122	0.01
COG4143	0.01
COG4177	0.03
COG4754	0.01
COG4800	0.01
COG4887	0.02
COG4992	0.02
COG5012	0.06
COG5016	0.03
COG5256	0.11
COG5257	0.98
COG5258	0.05
COG5340	0.01
COG5378	0.01
COG5418	0.01
COG5423	0.06
COG5427	0.04
COG5483	0.01
COG5561	0.01
