family,fn,fp,MCC_mean,MCC_std,ece_mean,ece_std,n
nohidden_HO_T20_mixFTfprealhq,0.3,0.2,0.5054,0.0938,0.206,0.0763,10
nohidden_HO_T20_mixFTfprealhq,0.4,0.01,0.5036,0.1692,0.157,0.0865,10
nohidden_HO_T20_mixFTfprealhq,0.4,0.025,0.5081,0.1617,0.1595,0.0835,10
nohidden_HO_T20_mixFTfprealhq,0.4,0.05,0.5106,0.1493,0.1642,0.079,10
nohidden_HO_T20_mixFTfprealhq,0.4,0.1,0.5077,0.1246,0.1743,0.0718,10
nohidden_HO_T20_mixFTfprealhq,0.4,0.2,0.497,0.0852,0.1865,0.0679,10
nohidden_HO_T20_mixFTfprealhq,0.5,0.01,0.502,0.1651,0.1465,0.0855,10
nohidden_HO_T20_mixFTfprealhq,0.5,0.025,0.5052,0.1589,0.1488,0.0823,10
nohidden_HO_T20_mixFTfprealhq,0.5,0.05,0.5058,0.1477,0.1537,0.0768,10
nohidden_HO_T20_mixFTfprealhq,0.5,0.1,0.4985,0.1253,0.1627,0.0674,10
nohidden_HO_T20_mixFTfprealhq,0.5,0.2,0.4791,0.0894,0.166,0.0579,10
nohidden_HO_T20_mixFTfprealhq,0.6,0.01,0.4998,0.1595,0.1384,0.0835,10
nohidden_HO_T20_mixFTfprealhq,0.6,0.025,0.5017,0.1541,0.1409,0.0799,10
nohidden_HO_T20_mixFTfprealhq,0.6,0.05,0.4985,0.1446,0.146,0.0738,10
nohidden_HO_T20_mixFTfprealhq,0.6,0.1,0.4845,0.1271,0.1526,0.0632,10
nohidden_HO_T20_mixFTfprealhq,0.6,0.2,0.4345,0.1065,0.1462,0.0462,10
nohidden_HO_T20_mixFTfprealhq,0.7,0.01,0.4953,0.1529,0.1335,0.08,10
nohidden_HO_T20_mixFTfprealhq,0.7,0.025,0.4941,0.1483,0.1364,0.0763,10
nohidden_HO_T20_mixFTfprealhq,0.7,0.05,0.4863,0.1402,0.1415,0.0699,10
nohidden_HO_T20_mixFTfprealhq,0.7,0.1,0.4604,0.129,0.1438,0.06,10
nohidden_HO_T20_mixFTfprealhq,0.7,0.2,0.2834,0.097,0.1622,0.042,10
nohidden_HO_T20_mixFTfprealhq,0.8,0.01,0.4847,0.1477,0.1313,0.0762,10
nohidden_HO_T20_mixFTfprealhq,0.8,0.025,0.4791,0.1435,0.1345,0.0725,10
nohidden_HO_T20_mixFTfprealhq,0.8,0.05,0.4632,0.1367,0.1385,0.0665,10
nohidden_HO_T20_mixFTfprealhq,0.8,0.1,0.4006,0.1253,0.14,0.0572,10
nohidden_HO_T20_mixFTfprealhq,0.8,0.2,0.0826,0.0786,0.213,0.0429,10
nohidden_HO_T20_mixFTfprealhq,0.9,0.01,0.4471,0.1457,0.1307,0.0728,10
nohidden_HO_T20_mixFTfprealhq,0.9,0.025,0.4305,0.1405,0.134,0.0694,10
nohidden_HO_T20_mixFTfprealhq,0.9,0.05,0.3825,0.1268,0.1432,0.0625,10
nohidden_HO_T20_mixFTfprealhq,0.9,0.1,0.1727,0.0878,0.1939,0.0526,10
nohidden_HO_T20_mixFTfprealhq,0.9,0.2,0.0054,0.0631,0.2336,0.04,10
