family,fn,fp,MCC_mean,MCC_std,ece_mean,ece_std,n
nohidden_HO_T20_bacFTfpreal,0.0,0.025,0.3794,0.2775,0.2211,0.1054,10
nohidden_HO_T20_bacFTfpreal,0.0,0.05,0.4289,0.2418,0.2115,0.0998,10
nohidden_HO_T20_bacFTfpreal,0.0,0.1,0.4967,0.1961,0.2171,0.0869,10
nohidden_HO_T20_bacFTfpreal,0.0,0.2,0.5215,0.1496,0.2512,0.0825,10
nohidden_HO_T20_bacFTfpreal,0.1,0.01,0.4078,0.2346,0.2018,0.0982,10
nohidden_HO_T20_bacFTfpreal,0.1,0.025,0.4582,0.211,0.1912,0.0964,10
nohidden_HO_T20_bacFTfpreal,0.1,0.05,0.5043,0.189,0.1927,0.0893,10
nohidden_HO_T20_bacFTfpreal,0.1,0.1,0.5326,0.1551,0.2052,0.083,10
nohidden_HO_T20_bacFTfpreal,0.1,0.2,0.5299,0.1289,0.2317,0.0807,10
nohidden_HO_T20_bacFTfpreal,0.2,0.01,0.4951,0.1923,0.1732,0.0932,10
nohidden_HO_T20_bacFTfpreal,0.2,0.025,0.519,0.18,0.175,0.0886,10
nohidden_HO_T20_bacFTfpreal,0.2,0.05,0.5344,0.1634,0.18,0.0843,10
nohidden_HO_T20_bacFTfpreal,0.2,0.1,0.5399,0.1407,0.1903,0.0807,10
nohidden_HO_T20_bacFTfpreal,0.2,0.2,0.5329,0.1119,0.2122,0.0784,10
nohidden_HO_T20_bacFTfpreal,0.3,0.01,0.5212,0.1786,0.1606,0.0888,10
nohidden_HO_T20_bacFTfpreal,0.3,0.025,0.5299,0.17,0.1631,0.0856,10
nohidden_HO_T20_bacFTfpreal,0.3,0.05,0.5362,0.1569,0.167,0.082,10
nohidden_HO_T20_bacFTfpreal,0.3,0.1,0.5385,0.1338,0.1755,0.077,10
nohidden_HO_T20_bacFTfpreal,0.3,0.2,0.5315,0.0984,0.1928,0.0733,10
nohidden_HO_T20_bacFTfpreal,0.4,0.01,0.5224,0.1737,0.1498,0.0868,10
nohidden_HO_T20_bacFTfpreal,0.4,0.025,0.5283,0.1662,0.1515,0.084,10
nohidden_HO_T20_bacFTfpreal,0.4,0.05,0.5328,0.1546,0.1547,0.0798,10
nohidden_HO_T20_bacFTfpreal,0.4,0.1,0.5334,0.1323,0.162,0.0729,10
nohidden_HO_T20_bacFTfpreal,0.4,0.2,0.5245,0.092,0.1732,0.0647,10
nohidden_HO_T20_bacFTfpreal,0.5,0.01,0.5211,0.1692,0.1397,0.0853,10
nohidden_HO_T20_bacFTfpreal,0.5,0.025,0.5256,0.1632,0.1411,0.0823,10
nohidden_HO_T20_bacFTfpreal,0.5,0.05,0.5282,0.1534,0.1441,0.0775,10
nohidden_HO_T20_bacFTfpreal,0.5,0.1,0.5245,0.1342,0.1499,0.0686,10
nohidden_HO_T20_bacFTfpreal,0.5,0.2,0.5082,0.0989,0.1519,0.0549,10
nohidden_HO_T20_bacFTfpreal,0.6,0.01,0.5193,0.1637,0.1318,0.0829,10
nohidden_HO_T20_bacFTfpreal,0.6,0.025,0.5217,0.1591,0.1331,0.0799,10
nohidden_HO_T20_bacFTfpreal,0.6,0.05,0.521,0.1514,0.136,0.0746,10
nohidden_HO_T20_bacFTfpreal,0.6,0.1,0.5098,0.137,0.1398,0.0648,10
nohidden_HO_T20_bacFTfpreal,0.6,0.2,0.4603,0.1156,0.133,0.0461,10
nohidden_HO_T20_bacFTfpreal,0.7,0.01,0.5142,0.1579,0.1268,0.0794,10
nohidden_HO_T20_bacFTfpreal,0.7,0.025,0.5142,0.1544,0.1281,0.0764,10
nohidden_HO_T20_bacFTfpreal,0.7,0.05,0.5078,0.1481,0.1312,0.0712,10
nohidden_HO_T20_bacFTfpreal,0.7,0.1,0.482,0.1382,0.1316,0.062,10
nohidden_HO_T20_bacFTfpreal,0.7,0.2,0.2924,0.0973,0.1603,0.0439,10
nohidden_HO_T20_bacFTfpreal,0.8,0.01,0.5027,0.1534,0.1247,0.0757,10
nohidden_HO_T20_bacFTfpreal,0.8,0.025,0.4975,0.1497,0.1264,0.0727,10
nohidden_HO_T20_bacFTfpreal,0.8,0.05,0.4802,0.1428,0.1295,0.0676,10
nohidden_HO_T20_bacFTfpreal,0.8,0.1,0.4092,0.1243,0.1355,0.0561,10
nohidden_HO_T20_bacFTfpreal,0.8,0.2,0.1,0.0775,0.2087,0.0432,10
nohidden_HO_T20_bacFTfpreal,0.9,0.01,0.4614,0.1479,0.1253,0.0714,10
nohidden_HO_T20_bacFTfpreal,0.9,0.025,0.4395,0.1388,0.1302,0.0672,10
nohidden_HO_T20_bacFTfpreal,0.9,0.05,0.3895,0.1219,0.1412,0.0595,10
