COG	LBCA_alt
COG0311	0.668651
COG0312	1.000000
COG0313	0.999620
COG0314	0.992998
COG0315	0.999876
COG0316	0.694181
COG0317	0.848504
COG0318	1.000000
COG0319	0.999898
COG0320	0.999534
COG0321	0.994831
COG0322	0.999899
COG0323	0.999900
COG0324	0.999899
COG0325	0.999885
COG0326	0.733831
COG0327	0.999899
COG0328	0.986031
COG0329	0.999998
COG0330	0.999969
COG0331	0.999885
COG0332	1.000000
COG0333	0.999899
COG0334	0.999525
COG0335	0.999899
COG0336	0.999899
COG0337	0.999870
COG0338	0.999450
COG0340	0.999885
COG0341	0.999887
COG0342	0.999887
COG0343	0.999900
COG0344	0.999967
COG0345	0.999876
COG0347	0.987644
COG0348	0.999998
COG0349	0.964718
COG0350	0.999878
COG0351	0.997890
COG0352	0.999515
COG0353	0.999898
COG0355	0.999899
COG0356	0.999899
COG0357	0.999899
COG0358	0.999899
COG0359	0.999899
COG0360	0.999899
COG0361	0.999899
COG0363	0.999564
COG0364	0.999179
COG0365	0.998815
COG0366	0.995182
COG0367	0.999999
COG0368	0.998368
COG0369	0.999866
COG0370	0.999910
COG0372	0.927749
COG0373	0.999881
COG0375	0.999688
COG0377	0.999886
COG0378	0.999876
COG0379	0.999887
COG0380	0.762263
COG0381	0.999747
COG0382	0.999637
COG0384	0.964715
COG0388	0.999876
COG0389	0.999867
COG0391	0.999628
COG0394	0.999876
COG0395	1.000000
COG0396	0.999621
COG0399	1.000000
COG0402	0.999974
COG0403	0.999885
COG0404	0.999885
COG0405	0.999508
COG0407	0.999998
COG0409	0.999532
COG0410	0.999999
COG0411	0.999999
COG0412	0.952777
COG0413	0.999873
COG0414	0.999873
COG0415	0.999408
COG0416	0.999885
COG0419	0.999788
COG0420	0.999885
COG0421	0.999980
COG0422	0.998440
COG0423	0.977658
COG0424	0.999885
COG0425	0.999874
COG0426	0.999882
COG0428	0.745507
COG0433	0.999101
COG0436	0.999999
COG0437	0.965259
COG0439	0.999887
COG0440	0.998551
COG0441	0.999899
COG0442	0.999898
COG0443	1.000000
COG0444	0.999976
COG0445	0.999910
COG0446	0.539427
COG0448	0.999867
COG0449	0.999936
COG0450	0.999856
COG0451	0.999804
COG0452	0.999898
COG0455	0.999972
COG0458	0.998553
COG0459	0.999934
COG0460	0.999876
COG0461	0.999882
COG0462	0.999905
COG0463	0.999992
COG0464	0.999879
COG0465	1.000000
COG0466	0.999993
COG0468	0.999904
COG0469	0.999903
COG0470	0.998125
COG0471	0.998546
COG0472	0.999899
COG0473	0.998507
COG0474	0.999624
COG0475	0.999969
COG0476	0.998497
COG0479	0.998200
COG0480	1.000000
COG0481	0.999899
COG0482	0.999900
COG0483	0.999997
COG0484	0.999999
COG0486	0.999899
COG0488	0.999911
COG0492	1.000000
COG0493	0.999881
COG0494	0.999610
COG0495	0.999899
COG0496	0.999885
COG0497	0.999898
COG0498	1.000000
COG0499	0.999887
COG0501	0.999999
COG0502	0.999896
COG0503	0.999899
COG0504	0.999885
COG0505	0.998551
COG0506	0.805245
COG0507	0.999874
COG0508	0.999870
COG0509	0.999956
COG0511	0.999898
COG0512	0.998551
COG0513	0.999902
COG0514	0.999870
COG0516	0.999864
COG0517	0.999996
COG0518	0.999949
COG0519	0.999621
COG0520	0.999997
COG0522	0.999899
COG0524	0.999926
COG0525	0.999899
COG0527	0.999909
COG0528	0.999899
COG0529	0.998023
COG0530	0.999886
COG0531	1.000000
COG0532	0.999899
COG0533	0.999899
COG0534	1.000000
COG0536	0.999899
COG0537	0.999898
COG0538	0.998535
COG0539	0.999986
COG0540	0.999876
COG0541	0.999900
COG0542	0.999928
COG0543	0.999871
COG0544	0.999899
COG0546	1.000000
COG0547	0.998552
COG0548	0.998549
COG0549	0.999840
COG0550	0.999899
COG0552	0.999899
COG0553	0.999683
COG0554	0.998546
COG0556	0.999899
COG0557	0.999534
COG0558	1.000000
COG0559	0.999999
COG0561	0.996627
COG0563	0.999898
COG0564	1.000000
COG0565	0.887446
COG0566	0.999899
COG0568	1.000000
COG0569	1.000000
COG0571	0.999898
COG0572	0.999941
COG0573	0.999862
COG0574	0.999888
COG0576	0.999899
COG0578	0.991554
COG0581	0.999865
COG0584	0.999994
COG0586	0.999986
COG0587	0.999904
COG0590	0.999540
COG0591	0.998692
COG0592	0.999899
COG0593	0.999935
COG0594	0.998771
COG0595	0.999506
COG0597	0.999899
COG0598	0.999885
COG0599	0.984815
COG0601	1.000000
COG0602	0.999837
COG0603	0.999871
COG0604	0.998624
COG0605	0.999862
COG0606	0.999876
COG0607	0.998514
COG0608	0.999899
COG0609	0.999964
COG0610	0.999875
COG0611	0.999560
COG0614	0.999938
COG0615	0.999951
COG0616	0.999991
COG0617	1.000000
COG0618	0.999999
COG0619	0.997250
COG0620	0.997519
COG0621	0.999899
COG0622	0.999858
COG0623	0.999248
COG0624	0.999888
COG0626	0.998262
COG0628	0.999998
COG0629	1.000000
COG0631	0.999855
COG0632	0.999899
COG0634	0.999912
COG0635	0.999899
COG0636	0.999899
COG0637	0.999836
COG0639	0.999724
COG0641	0.999656
COG0642	0.999938
COG0643	0.999999
COG0644	0.999516
COG0646	0.999984
COG0648	0.999873
COG0649	0.998468
COG0650	0.987774
COG0651	0.999680
COG0652	0.999891
COG0653	0.999899
COG0655	0.989661
COG0658	0.999903
COG0659	0.990567
COG0661	0.999882
COG0662	0.998993
COG0663	0.999883
COG0665	0.979655
COG0667	0.998535
COG0668	0.999687
COG0669	0.999899
COG0673	1.000000
COG0674	1.000000
COG0677	0.998462
COG0679	0.999744
COG0680	0.998542
COG0682	1.000000
COG0685	0.999530
COG0686	0.998380
COG0688	0.991275
COG0689	0.999802
COG0690	0.999898
COG0691	0.999899
COG0693	0.999809
COG0694	0.998368
COG0695	0.998354
COG0696	0.999849
COG0698	0.999997
COG0701	1.000000
COG0702	0.994220
COG0703	0.999861
COG0704	0.999971
COG0705	0.999691
COG0706	0.999899
COG0707	0.999899
COG0708	0.999440
COG0709	0.999853
COG0711	0.999907
COG0712	0.999898
COG0713	0.999808
COG0714	1.000000
COG0716	0.569733
COG0717	0.999869
COG0718	0.999899
COG0719	0.999612
COG0720	0.999877
COG0721	0.999865
COG0724	0.849553
COG0725	0.999875
COG0727	0.999981
COG0728	0.999936
COG0731	0.999375
COG0733	0.999562
COG0735	0.999917
COG0736	0.999898
COG0737	0.999940
COG0740	1.000000
COG0741	1.000000
COG0742	0.999899
COG0743	0.999885
COG0744	0.999901
COG0745	1.000000
COG0749	0.999898
COG0750	0.999899
COG0751	0.999865
COG0752	0.999865
COG0755	0.999821
COG0756	0.999899
COG0757	0.999885
COG0758	0.999987
COG0759	0.999458
COG0761	0.999885
COG0762	0.999847
COG0763	0.999956
COG0764	0.999282
COG0766	0.999899
COG0767	0.999986
COG0768	0.999874
COG0769	0.999903
COG0770	0.999899
COG0771	0.999899
COG0772	0.999908
COG0773	0.999946
COG0774	0.996781
COG0775	0.996826
COG0776	1.000000
COG0777	0.999885
COG0778	0.999999
COG0779	0.999898
COG0780	0.949931
COG0781	0.999899
COG0782	0.998772
COG0784	0.999777
COG0785	0.999727
COG0787	0.999900
COG0789	0.986523
COG0792	0.999885
COG0794	0.994883
COG0795	0.999937
COG0796	0.999898
COG0797	0.999862
COG0798	0.999876
COG0799	0.999898
COG0800	0.999090
COG0801	0.998549
COG0802	0.999899
COG0803	0.999906
COG0805	0.999874
COG0806	0.999899
COG0807	0.999528
COG0809	0.999899
COG0811	0.999999
COG0812	0.999899
COG0815	0.999533
COG0816	0.999970
COG0817	0.999899
COG0818	0.997503
COG0820	0.999899
COG0821	0.999886
COG0822	0.999899
COG0824	0.999979
COG0825	0.999885
COG0826	0.999989
COG0827	0.999496
COG0828	0.999875
COG0836	0.999602
COG0838	0.999905
COG0839	0.999610
COG0840	1.000000
COG0841	1.000000
COG0842	0.999997
COG0843	0.968792
COG0846	0.999880
COG0847	0.999609
COG0848	0.999990
COG0849	0.999942
COG0850	0.668705
COG0852	0.999886
COG0853	0.999523
COG0854	0.998061
COG0855	0.971802
COG0858	0.999899
COG0859	1.000000
COG0861	0.992602
COG0863	0.999995
COG0864	0.998493
COG1001	0.873662
COG1002	0.998948
COG1003	0.999885
COG1004	0.999886
COG1005	0.999957
COG1006	0.999403
COG1007	0.999915
COG1008	0.999920
COG1009	0.999927
COG1011	0.999528
COG1012	0.819101
COG1013	1.000000
COG1014	0.999879
COG1015	0.999634
COG1022	0.999972
COG1024	0.999499
COG1027	0.990891
COG1030	0.999897
COG1033	0.999973
COG1034	0.902097
COG1040	0.999898
COG1043	0.999885
COG1044	0.999886
COG1045	0.999887
COG1047	0.891770
COG1048	0.999524
COG1051	0.962964
COG1052	0.800767
COG1053	0.998552
COG1055	0.999808
COG1057	0.999885
COG1058	0.999560
COG1060	0.998668
COG1063	0.999996
COG1064	0.999023
COG1066	0.999899
COG1067	0.996983
COG1070	0.953019
COG1071	0.995186
COG1074	0.999896
COG1075	0.992940
COG1077	0.999973
COG1079	0.666944
COG1080	0.999888
COG1085	0.999990
COG1086	0.788763
COG1087	0.998477
COG1088	0.999888
COG1089	0.999871
COG1090	0.958173
COG1091	0.999916
COG1092	0.999887
COG1104	1.000000
COG1108	0.999899
COG1109	0.999930
COG1115	0.971935
COG1116	0.999915
COG1117	0.999990
COG1120	0.999962
COG1121	0.999897
COG1122	0.953673
COG1127	0.999985
COG1129	0.555142
COG1131	1.000000
COG1132	1.000000
COG1134	0.999830
COG1136	1.000000
COG1137	0.999885
COG1138	0.964992
