family,fn,fp,step,MCC_mean,MCC_std,MCC_count,F1_mean,F1_std,F1_count,prec_mean,prec_std,prec_count,rec_mean,rec_std,rec_count,fp_removed_mean,fp_removed_std,fp_removed_count,ece_mean,ece_std,ece_count,mce_mean,mce_std,mce_count,brier_mean,brier_std,brier_count,nll_mean,nll_std,nll_count
HO_T20_gen,0.0,0.01,1,0.47944594716291145,0.24202678140145337,10,0.5665523794003221,0.21211211755113907,10,0.49352086722461747,0.231792469414308,10,0.6852947354679503,0.16160763619383553,10,0.8947237539077953,0.11254800047878949,10,0.1273885961231723,0.07524579854128384,10,0.448524765838296,0.19206817578043145,10,0.13541173208504914,0.061200022254577574,10,0.5194850474596023,0.24249995228807408,10
HO_T20_gen,0.0,0.01,2,0.5571730935220176,0.12381285846366129,10,0.6122359711783011,0.1258800078053806,10,0.4746572052584284,0.14334118250099256,10,0.9005350305967748,0.055822848442569004,10,0.5786121953456262,0.07261774195495149,10,0.1933746762832669,0.05858204710782385,10,0.46351166923729564,0.11569831786242406,10,0.15194708928465844,0.04410704292440911,10,0.6087593108415603,0.24004671802819913,10
HO_T20_gen,0.0,0.01,3,0.4654615059089838,0.09417123312268147,10,0.537653592694645,0.07584298735742648,10,0.38331097336955866,0.07772829619055278,10,0.921575765740475,0.03399527519691022,10,0.20884151581171562,0.0428208862435948,10,0.28279593710272594,0.05558666525506184,10,0.5913398268844496,0.07604167753678742,10,0.21911083161830902,0.07187383786205169,10,0.939765453338623,0.4373277368756456,10
HO_T20_gen,0.0,0.01,4,0.5702379326374316,0.06041234179478232,10,0.6317629902774804,0.06718680882863218,10,0.49762373993019837,0.07668410652987898,10,0.8785447745066002,0.04583684165617225,10,0.22797088095948365,0.06928781642205784,10,0.18803622325282174,0.028605557312320673,10,0.5176967748217025,0.06944060830866643,10,0.1333245776593685,0.02565347274041427,10,0.501109567284584,0.11390571460249624,10
HO_T20_gen,0.0,0.01,5,0.5525425855548585,0.120821020737854,10,0.6119219709448873,0.11473481113040356,10,0.4724635142772213,0.13185125606460346,10,0.8980455980695927,0.043808279687287885,10,0.3433043033969783,0.040999857525300214,10,0.1963386054572292,0.05673458893988478,10,0.5247244436043813,0.09872487616555775,10,0.1524224743247032,0.05792393192309166,10,0.6258451461791992,0.3136252154195485,10
HO_T20_gen,0.0,0.01,6,0.563103985327938,0.15546822144713882,10,0.6310439242720481,0.13193403846127216,10,0.513856187830297,0.15958234750306866,10,0.8434631537440088,0.07287290100984309,10,0.43822999123902234,0.13372067443643496,10,0.17187120438914744,0.07253844015077313,10,0.4676413837065299,0.07506426934349718,10,0.13774337880313398,0.062159215796671025,10,0.601932679861784,0.29720797113948283,10
HO_T20_gen,0.0,0.01,7,0.4778098229620249,0.04887180602089928,10,0.5580653989938517,0.06953386662848202,10,0.42756312124026363,0.07917639293129126,10,0.8204929218626338,0.04290405505392122,10,0.5379133376638026,0.06571345626337542,10,0.18877104531077316,0.025433600036301532,10,0.5246828753237217,0.06357200914175387,10,0.1716262698173523,0.017502805686777062,10,0.8869120180606842,0.22426875168483912,10
HO_T20_gen,0.0,0.01,8,0.5241298774863778,0.10752514204177299,10,0.6057057425901394,0.08920584436579168,10,0.49500554348099557,0.10672111648847675,10,0.7974469737609275,0.05732080209261239,10,0.488834048106625,0.11849742225027575,10,0.16927594206855096,0.07091608888058641,10,0.511976550212111,0.11950415527798193,10,0.14218640625476836,0.06120833350023411,10,0.5827342599630356,0.29481643159888943,10
HO_T20_gen,0.0,0.01,9,0.5028866130989605,0.08116960218983721,10,0.5808499309079357,0.08364801957803962,10,0.4571318406921729,0.09285159092325189,10,0.8130681483109112,0.07243541642170868,10,0.5416686253587571,0.1161074522051656,10,0.18049390959637943,0.04216791618298229,10,0.5273793401100944,0.0628368846107938,10,0.14448776841163635,0.03064835308840054,10,0.5341923117637635,0.09924430800223308,10
HO_T20_gen,0.0,0.01,10,0.11788769858459043,0.07062837097466887,10,0.31605417785613604,0.08520502390251611,10,0.21545886985825638,0.07069903326947537,10,0.6136734427371678,0.07106463259852042,10,0.624035411205184,0.08151913754331064,10,0.3949339606217892,0.03058018245198937,10,0.7613789714774429,0.07721471997248602,10,0.3792127251625061,0.02900587082974602,10,2.340451979637146,0.40628418279134676,10
HO_T20_gen,0.0,0.01,11,0.10801983388912628,0.030847528722098363,10,0.30307554771620854,0.05712217409490253,10,0.2191801115883806,0.05942906248224806,10,0.5162766320056067,0.05565469532268086,10,0.5109384547852346,0.05585466511598717,10,0.3436812021491974,0.02899576628332358,10,0.747404191947089,0.05432421918216072,10,0.32396540939807894,0.021754996076378822,10,1.7031561017036438,0.25267357518832995,10
HO_T20_gen,0.0,0.01,12,0.15364398103291252,0.10086943714263034,10,0.3288295325710745,0.0645715275227183,10,0.2638616552916586,0.06447681108979932,10,0.4516123083783697,0.08269951223312556,10,0.4871679751495681,0.10010344203949241,10,0.25343249465083684,0.062057559891130314,10,0.7053496650725215,0.11391833292913217,10,0.2425697073340416,0.058826468415930366,10,0.989157897233963,0.283514804346122,10
HO_T20_gen,0.0,0.01,13,0.2921485967225018,0.09990009109916298,10,0.42648611427324196,0.07919248142149235,10,0.37178522005977743,0.08826966697813954,10,0.5090797350168925,0.0850450187511211,10,0.4984400278719149,0.1080957141456875,10,0.1905341013493979,0.05774706436262383,10,0.5496374222898806,0.1229462844088125,10,0.18516388908028603,0.049609991234186475,10,0.6907395899295807,0.20338103717321943,10
HO_T20_gen,0.0,0.01,14,0.187789388135805,0.12153435305155308,10,0.3518126242537492,0.09860120342599728,10,0.27955455200538193,0.08912727075193198,10,0.48462580176464753,0.11501595447975332,10,0.5331134292202029,0.08275559053741571,10,0.2393565974194547,0.06564530458958309,10,0.7214579963833658,0.15403798225354198,10,0.24434617161750793,0.05813974054906476,10,1.2655869781970979,0.5597920936309075,10
HO_T20_gen,0.0,0.01,15,0.260278317869274,0.09216841879006343,10,0.39944465456398437,0.08800178988390811,10,0.3277122483633181,0.08686541436195225,10,0.5261086867615435,0.10954756824992185,10,0.5021596526158765,0.0499586866262002,10,0.20942280670178323,0.022158349864680637,10,0.6354716033649797,0.08848690346298058,10,0.21444893777370452,0.0218082426847499,10,0.9782219588756561,0.140744730253606,10
HO_T20_gen,0.0,0.01,16,0.37327426873130504,0.0982858357185838,10,0.45789297908666854,0.09272191063688984,10,0.5289873467042419,0.08636029095668339,10,0.4102401871933375,0.10952657948361062,10,0.687675727406288,0.0602409236182401,10,0.11544594445068283,0.031198478392251032,10,0.455870873120327,0.10013552978384062,10,0.13896239101886748,0.03311741128662005,10,0.7852311670780182,0.22092850565133332,10
HO_T20_gen,0.0,0.01,17,0.6090562293273785,0.12646417924973635,10,0.6529422347993498,0.1181349195661439,10,0.7717938309060614,0.09143515007087699,10,0.5713326942137636,0.13901457016645175,10,0.7418904317478832,0.05314767067897221,10,0.04776271338661094,0.026994546920797873,10,0.18606788586936024,0.0752110592208231,10,0.0770550712943077,0.028060241949626717,10,0.2754745692014694,0.1021909255674838,10
