COG_ID	input_prob	input_present	candidate	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG1855	1	1	1	0.999933	0.000198568	0.999321	0.00199399	0.992866	0.0205069	0.000612319	0.00706673	8.6576	0.950584	0.984375
COG1856	1	1	1	0.983128	0.0444107	0.917383	0.175399	0.755569	0.252476	0.0657446	0.227558	4.81273	0.543853	0.54375
COG1857	1	1	1	0.998925	0.000756638	0.99054	0.00573125	0.926394	0.0469905	0.00838494	0.0725308	4.91711	0.718107	0.759375
COG1858	0.0001	1	1	0.0769206	0.187942	0.0769141	0.187931	0.0271773	0.076151	6.48201e-06	0.0497433	-2.60134	0.129612	0.015625
COG1859	1	1	1	0.933678	0.0402337	0.639145	0.211045	0.27284	0.278807	0.294533	0.660838	1.38596	0.765797	0.81875
COG1860	1	1	1	0.999611	0.000587421	0.997069	0.00335791	0.97534	0.0240728	0.00254267	0.0242712	8.43818	0.937945	0.984375
COG1863	0.9996	1	1	0.995543	0.00661647	0.967732	0.0601758	0.878958	0.208566	0.0278106	0.116585	2.87711	0.874119	0.909375
COG1865	0.999	1	1	0.99622	0.00313908	0.96829	0.0332698	0.836812	0.158543	0.0279298	0.159408	4.62961	0.891558	0.98125
COG1866	1	1	1	0.032333	0.0291135	0.00371973	0.00316741	0.000382581	0.000319006	0.0286133	0.0319504	-7.35421	0.330682	0.315625
COG1867	1	1	1	0.999998	2.70503e-06	0.999972	4.87203e-05	0.999415	0.000955689	2.67625e-05	0.000583231	10.9038	0.979596	1
COG1871	1	1	1	0.928861	0.0412706	0.652128	0.187348	0.290695	0.256614	0.276733	0.638165	0.328692	0.859089	0.940625
COG1872	1	1	1	0.998621	0.0025888	0.9865	0.0216505	0.889493	0.13623	0.0121209	0.109129	2.75438	0.897665	0.975
COG1873	1	1	1	0.99915	0.00100156	0.991207	0.00849429	0.925234	0.0587001	0.00794268	0.0739159	3.52161	0.926112	0.96875
COG1874	0.0043	1	1	0.344648	0.221913	0.342904	0.222217	0.11538	0.22884	0.00174421	0.229268	-1.37998	0.594685	0.6375
COG1877	0.9882	1	1	0.943731	0.0321337	0.722872	0.129325	0.337467	0.192305	0.220859	0.606264	0.689423	0.453479	0.471875
COG1878	1	1	1	0.999232	0.000559946	0.995199	0.00325633	0.970617	0.0234008	0.00403261	0.0286151	3.82248	0.994651	1
COG1879	0.5546	1	1	0.0867101	0.234684	0.0580688	0.167318	0.0109068	0.032053	0.0286413	0.0758033	-4.31115	0.371528	0.31875
COG1880	1	1	1	0.998323	0.00304807	0.987581	0.0222589	0.925214	0.112792	0.0107415	0.0731085	7.52809	0.690447	0.73125
COG1881	1	1	1	0.99603	0.0039337	0.972096	0.0239498	0.849758	0.131693	0.0239336	0.146272	2.41041	0.926234	0.990625
COG1882	1	1	1	0.446827	0.270284	0.116108	0.122067	0.0134577	0.015037	0.330719	0.433369	-3.3338	0.551124	0.525
COG1883	0.9737	1	1	0.803451	0.164489	0.445041	0.254054	0.124795	0.133008	0.35841	0.678657	-0.829301	0.405455	0.4
